date,déménagement particulier,isPartial
2018-01-07,44,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,15,False
2018-02-04,15,False
2018-02-11,74,False
2018-02-18,15,False
2018-02-25,30,False
2018-03-04,15,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,30,False
2018-04-01,15,False
2018-04-08,30,False
2018-04-15,24,False
2018-04-22,16,False
2018-04-29,0,False
2018-05-06,47,False
2018-05-13,30,False
2018-05-20,31,False
2018-05-27,37,False
2018-06-03,30,False
2018-06-10,100,False
2018-06-17,15,False
2018-06-24,61,False
2018-07-01,29,False
2018-07-08,38,False
2018-07-15,49,False
2018-07-22,24,False
2018-07-29,33,False
2018-08-05,16,False
2018-08-12,67,False
2018-08-19,41,False
2018-08-26,23,False
2018-09-02,31,False
2018-09-09,46,False
2018-09-16,76,False
2018-09-23,0,False
2018-09-30,15,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,46,False
2018-10-28,46,False
2018-11-04,29,False
2018-11-11,15,False
2018-11-18,29,False
2018-11-25,30,False
2018-12-02,22,False
2018-12-09,46,False
2018-12-16,15,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,15,False
2019-01-13,30,False
2019-01-20,22,False
2019-01-27,43,False
2019-02-03,14,False
2019-02-10,45,False
2019-02-17,15,False
2019-02-24,15,False
2019-03-03,44,False
2019-03-10,37,False
2019-03-17,15,False
2019-03-24,31,False
2019-03-31,29,False
2019-04-07,0,False
2019-04-14,23,False
2019-04-21,61,False
2019-04-28,15,False
2019-05-05,15,False
2019-05-12,15,False
2019-05-19,0,False
2019-05-26,15,False
2019-06-02,28,False
2019-06-09,0,False
2019-06-16,29,False
2019-06-23,37,False
2019-06-30,22,False
2019-07-07,15,False
2019-07-14,15,False
2019-07-21,23,False
2019-07-28,24,False
2019-08-04,16,False
2019-08-11,16,False
2019-08-18,23,False
2019-08-25,29,False
2019-09-01,57,False
2019-09-08,14,False
2019-09-15,28,False
2019-09-22,41,False
2019-09-29,27,False
2019-10-06,21,False
2019-10-13,14,False
2019-10-20,14,False
2019-10-27,27,False
2019-11-03,13,False
2019-11-10,14,False
2019-11-17,20,False
2019-11-24,0,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,47,False
2019-12-22,23,False
2019-12-29,28,False
2020-01-05,13,False
2020-01-12,25,False
2020-01-19,13,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,13,False
2020-02-16,0,False
2020-02-23,13,False
2020-03-01,19,False
2020-03-08,12,False
2020-03-15,47,False
2020-03-22,11,False
2020-03-29,23,False
2020-04-05,23,False
2020-04-12,18,False
2020-04-19,40,False
2020-04-26,38,False
2020-05-03,22,False
2020-05-10,40,False
2020-05-17,0,True
