date,buffet matrimonio,isPartial
2018-01-07,30,False
2018-01-14,29,False
2018-01-21,0,False
2018-01-28,14,False
2018-02-04,71,False
2018-02-11,43,False
2018-02-18,28,False
2018-02-25,41,False
2018-03-04,14,False
2018-03-11,14,False
2018-03-18,14,False
2018-03-25,15,False
2018-04-01,47,False
2018-04-08,14,False
2018-04-15,58,False
2018-04-22,30,False
2018-04-29,29,False
2018-05-06,43,False
2018-05-13,58,False
2018-05-20,87,False
2018-05-27,44,False
2018-06-03,29,False
2018-06-10,28,False
2018-06-17,29,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,44,False
2018-07-22,44,False
2018-07-29,15,False
2018-08-05,31,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,15,False
2018-09-02,14,False
2018-09-09,43,False
2018-09-16,14,False
2018-09-23,0,False
2018-09-30,14,False
2018-10-07,15,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,14,False
2018-11-25,14,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,17,False
2018-12-30,16,False
2019-01-06,29,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,13,False
2019-02-03,41,False
2019-02-10,55,False
2019-02-17,28,False
2019-02-24,28,False
2019-03-03,15,False
2019-03-10,57,False
2019-03-17,14,False
2019-03-24,14,False
2019-03-31,0,False
2019-04-07,14,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,82,False
2019-05-12,14,False
2019-05-19,14,False
2019-05-26,66,False
2019-06-02,14,False
2019-06-09,42,False
2019-06-16,100,False
2019-06-23,15,False
2019-06-30,29,False
2019-07-07,14,False
2019-07-14,43,False
2019-07-21,29,False
2019-07-28,30,False
2019-08-04,30,False
2019-08-11,0,False
2019-08-18,46,False
2019-08-25,0,False
2019-09-01,52,False
2019-09-08,0,False
2019-09-15,26,False
2019-09-22,13,False
2019-09-29,0,False
2019-10-06,41,False
2019-10-13,0,False
2019-10-20,13,False
2019-10-27,13,False
2019-11-03,25,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,26,False
2019-12-01,14,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,13,False
2020-01-12,12,False
2020-01-19,25,False
2020-01-26,0,False
2020-02-02,12,False
2020-02-09,38,False
2020-02-16,0,False
2020-02-23,12,False
2020-03-01,12,False
2020-03-08,0,False
2020-03-15,11,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
