date,Klimaanlage,isPartial
2018-01-07,6,False
2018-01-14,4,False
2018-01-21,4,False
2018-01-28,0,False
2018-02-04,4,False
2018-02-11,0,False
2018-02-18,4,False
2018-02-25,6,False
2018-03-04,4,False
2018-03-11,4,False
2018-03-18,4,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,8,False
2018-04-15,14,False
2018-04-22,5,False
2018-04-29,4,False
2018-05-06,13,False
2018-05-13,12,False
2018-05-20,13,False
2018-05-27,47,False
2018-06-03,15,False
2018-06-10,7,False
2018-06-17,10,False
2018-06-24,4,False
2018-07-01,10,False
2018-07-08,4,False
2018-07-15,6,False
2018-07-22,100,False
2018-07-29,71,False
2018-08-05,39,False
2018-08-12,8,False
2018-08-19,8,False
2018-08-26,7,False
2018-09-02,4,False
2018-09-09,4,False
2018-09-16,4,False
2018-09-23,6,False
2018-09-30,0,False
2018-10-07,6,False
2018-10-14,6,False
2018-10-21,4,False
2018-10-28,4,False
2018-11-04,4,False
2018-11-11,4,False
2018-11-18,4,False
2018-11-25,5,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,8,False
2019-01-13,4,False
2019-01-20,0,False
2019-01-27,8,False
2019-02-03,6,False
2019-02-10,8,False
2019-02-17,4,False
2019-02-24,0,False
2019-03-03,6,False
2019-03-10,4,False
2019-03-17,4,False
2019-03-24,4,False
2019-03-31,8,False
2019-04-07,0,False
2019-04-14,7,False
2019-04-21,10,False
2019-04-28,10,False
2019-05-05,4,False
2019-05-12,10,False
2019-05-19,7,False
2019-05-26,10,False
2019-06-02,22,False
2019-06-09,16,False
2019-06-16,15,False
2019-06-23,71,False
2019-06-30,16,False
2019-07-07,6,False
2019-07-14,6,False
2019-07-21,61,False
2019-07-28,27,False
2019-08-04,11,False
2019-08-11,7,False
2019-08-18,8,False
2019-08-25,22,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,4,False
2019-09-22,4,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,4,False
2019-10-20,6,False
2019-10-27,4,False
2019-11-03,6,False
2019-11-10,4,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,4,False
2019-12-08,0,False
2019-12-15,8,False
2019-12-22,0,False
2019-12-29,7,False
2020-01-05,4,False
2020-01-12,3,False
2020-01-19,7,False
2020-01-26,4,False
2020-02-02,5,False
2020-02-09,4,False
2020-02-16,5,False
2020-02-23,7,False
2020-03-01,7,False
2020-03-08,5,False
2020-03-15,5,False
2020-03-22,3,False
2020-03-29,6,False
2020-04-05,6,False
2020-04-12,6,False
2020-04-19,5,False
2020-04-26,8,False
2020-05-03,8,False
2020-05-10,10,False
2020-05-17,0,True
