date,dolci natalizi,isPartial
2018-01-07,5,False
2018-01-14,5,False
2018-01-21,3,False
2018-01-28,1,False
2018-02-04,1,False
2018-02-11,1,False
2018-02-18,2,False
2018-02-25,3,False
2018-03-04,1,False
2018-03-11,2,False
2018-03-18,0,False
2018-03-25,2,False
2018-04-01,3,False
2018-04-08,1,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,3,False
2018-05-06,2,False
2018-05-13,2,False
2018-05-20,2,False
2018-05-27,3,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,3,False
2018-07-08,3,False
2018-07-15,1,False
2018-07-22,0,False
2018-07-29,1,False
2018-08-05,1,False
2018-08-12,0,False
2018-08-19,1,False
2018-08-26,0,False
2018-09-02,1,False
2018-09-09,1,False
2018-09-16,3,False
2018-09-23,1,False
2018-09-30,3,False
2018-10-07,5,False
2018-10-14,3,False
2018-10-21,9,False
2018-10-28,7,False
2018-11-04,13,False
2018-11-11,9,False
2018-11-18,17,False
2018-11-25,36,False
2018-12-02,53,False
2018-12-09,80,False
2018-12-16,100,False
2018-12-23,58,False
2018-12-30,16,False
2019-01-06,2,False
2019-01-13,3,False
2019-01-20,1,False
2019-01-27,19,False
2019-02-03,18,False
2019-02-10,3,False
2019-02-17,4,False
2019-02-24,2,False
2019-03-03,1,False
2019-03-10,1,False
2019-03-17,1,False
2019-03-24,2,False
2019-03-31,3,False
2019-04-07,1,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,2,False
2019-05-05,1,False
2019-05-12,0,False
2019-05-19,3,False
2019-05-26,2,False
2019-06-02,0,False
2019-06-09,1,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,2,False
2019-07-14,0,False
2019-07-21,2,False
2019-07-28,1,False
2019-08-04,0,False
2019-08-11,2,False
2019-08-18,3,False
2019-08-25,1,False
2019-09-01,3,False
2019-09-08,0,False
2019-09-15,2,False
2019-09-22,0,False
2019-09-29,2,False
2019-10-06,1,False
2019-10-13,2,False
2019-10-20,3,False
2019-10-27,6,False
2019-11-03,9,False
2019-11-10,10,False
2019-11-17,14,False
2019-11-24,30,False
2019-12-01,47,False
2019-12-08,63,False
2019-12-15,75,False
2019-12-22,71,False
2019-12-29,16,False
2020-01-05,2,False
2020-01-12,2,False
2020-01-19,2,False
2020-01-26,1,False
2020-02-02,1,False
2020-02-09,4,False
2020-02-16,1,False
2020-02-23,2,False
2020-03-01,3,False
2020-03-08,1,False
2020-03-15,2,False
2020-03-22,3,False
2020-03-29,3,False
2020-04-05,2,False
2020-04-12,1,False
2020-04-19,0,False
2020-04-26,1,True
