date,Kanalreinigung,isPartial
2018-01-07,23,False
2018-01-14,23,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,36,False
2018-02-25,47,False
2018-03-04,36,False
2018-03-11,47,False
2018-03-18,24,False
2018-03-25,50,False
2018-04-01,34,False
2018-04-08,25,False
2018-04-15,25,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,25,False
2018-05-13,36,False
2018-05-20,24,False
2018-05-27,24,False
2018-06-03,25,False
2018-06-10,39,False
2018-06-17,24,False
2018-06-24,63,False
2018-07-01,100,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,25,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,71,False
2018-08-19,48,False
2018-08-26,32,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,37,False
2018-09-30,59,False
2018-10-07,50,False
2018-10-14,60,False
2018-10-21,0,False
2018-10-28,23,False
2018-11-04,30,False
2018-11-11,35,False
2018-11-18,45,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,93,False
2018-12-16,24,False
2018-12-23,38,False
2018-12-30,24,False
2019-01-06,66,False
2019-01-13,0,False
2019-01-20,43,False
2019-01-27,44,False
2019-02-03,51,False
2019-02-10,45,False
2019-02-17,34,False
2019-02-24,48,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,23,False
2019-04-07,46,False
2019-04-14,24,False
2019-04-21,36,False
2019-04-28,23,False
2019-05-05,22,False
2019-05-12,23,False
2019-05-19,45,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,57,False
2019-06-16,23,False
2019-06-23,70,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,37,False
2019-07-28,33,False
2019-08-04,31,False
2019-08-11,0,False
2019-08-18,45,False
2019-08-25,22,False
2019-09-01,22,False
2019-09-08,23,False
2019-09-15,34,False
2019-09-22,0,False
2019-09-29,23,False
2019-10-06,33,False
2019-10-13,21,False
2019-10-20,29,False
2019-10-27,42,False
2019-11-03,48,False
2019-11-10,28,False
2019-11-17,21,False
2019-11-24,41,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,64,False
2019-12-22,46,False
2019-12-29,0,False
2020-01-05,30,False
2020-01-12,48,False
2020-01-19,20,False
2020-01-26,30,False
2020-02-02,45,False
2020-02-09,77,False
2020-02-16,34,False
2020-02-23,71,False
2020-03-01,45,False
2020-03-08,27,False
2020-03-15,58,False
2020-03-22,50,False
2020-03-29,25,False
2020-04-05,25,False
2020-04-12,35,False
2020-04-19,29,False
2020-04-26,39,False
2020-05-03,81,False
2020-05-10,64,False
