date,catering para eventos,isPartial
2018-01-07,41,False
2018-01-14,41,False
2018-01-21,0,False
2018-01-28,20,False
2018-02-04,21,False
2018-02-11,21,False
2018-02-18,21,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,20,False
2018-03-18,21,False
2018-03-25,23,False
2018-04-01,31,False
2018-04-08,29,False
2018-04-15,21,False
2018-04-22,20,False
2018-04-29,21,False
2018-05-06,59,False
2018-05-13,62,False
2018-05-20,30,False
2018-05-27,60,False
2018-06-03,20,False
2018-06-10,29,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,43,False
2018-07-22,64,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,33,False
2018-08-19,44,False
2018-08-26,0,False
2018-09-02,20,False
2018-09-09,20,False
2018-09-16,40,False
2018-09-23,39,False
2018-09-30,100,False
2018-10-07,51,False
2018-10-14,39,False
2018-10-21,20,False
2018-10-28,21,False
2018-11-04,38,False
2018-11-11,39,False
2018-11-18,38,False
2018-11-25,20,False
2018-12-02,42,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,36,False
2018-12-30,90,False
2019-01-06,41,False
2019-01-13,39,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,40,False
2019-02-10,30,False
2019-02-17,20,False
2019-02-24,97,False
2019-03-03,0,False
2019-03-10,61,False
2019-03-17,41,False
2019-03-24,20,False
2019-03-31,58,False
2019-04-07,20,False
2019-04-14,41,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,39,False
2019-05-12,29,False
2019-05-19,19,False
2019-05-26,28,False
2019-06-02,0,False
2019-06-09,19,False
2019-06-16,40,False
2019-06-23,0,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,30,False
2019-07-28,32,False
2019-08-04,42,False
2019-08-11,42,False
2019-08-18,21,False
2019-08-25,39,False
2019-09-01,19,False
2019-09-08,18,False
2019-09-15,27,False
2019-09-22,27,False
2019-09-29,46,False
2019-10-06,18,False
2019-10-13,27,False
2019-10-20,36,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,18,False
2019-11-24,34,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,79,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,34,False
2020-02-02,17,False
2020-02-09,34,False
2020-02-16,17,False
2020-02-23,33,False
2020-03-01,16,False
2020-03-08,32,False
2020-03-15,31,False
2020-03-22,22,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,52,True
