date,paqueteria urgente,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,34,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,34,False
2018-02-18,51,False
2018-02-25,65,False
2018-03-04,33,False
2018-03-11,34,False
2018-03-18,34,False
2018-03-25,38,False
2018-04-01,34,False
2018-04-08,32,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,34,False
2018-05-06,33,False
2018-05-13,34,False
2018-05-20,0,False
2018-05-27,33,False
2018-06-03,32,False
2018-06-10,32,False
2018-06-17,69,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,69,False
2018-07-15,71,False
2018-07-22,53,False
2018-07-29,53,False
2018-08-05,35,False
2018-08-12,74,False
2018-08-19,36,False
2018-08-26,52,False
2018-09-02,34,False
2018-09-09,0,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,66,False
2018-10-07,51,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,33,False
2018-12-02,35,False
2018-12-09,34,False
2018-12-16,51,False
2018-12-23,39,False
2018-12-30,38,False
2019-01-06,0,False
2019-01-13,96,False
2019-01-20,30,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,64,False
2019-04-14,34,False
2019-04-21,33,False
2019-04-28,32,False
2019-05-05,64,False
2019-05-12,32,False
2019-05-19,32,False
2019-05-26,32,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,34,False
2019-06-30,100,False
2019-07-07,32,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,47,False
2019-08-04,69,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,41,False
2019-09-08,51,False
2019-09-15,30,False
2019-09-22,0,False
2019-09-29,45,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,0,False
2019-12-01,30,False
2019-12-08,31,False
2019-12-15,59,False
2019-12-22,33,False
2019-12-29,33,False
2020-01-05,30,False
2020-01-12,82,False
2020-01-19,27,False
2020-01-26,28,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,28,False
2020-02-23,37,False
2020-03-01,0,False
2020-03-08,79,False
2020-03-15,0,False
2020-03-22,37,False
2020-03-29,32,False
2020-04-05,65,False
2020-04-12,0,False
2020-04-19,48,False
2020-04-26,49,False
2020-05-03,24,False
2020-05-10,0,False
2020-05-17,44,True
