date,piscine semi enterrée,isPartial
2018-01-07,11,False
2018-01-14,9,False
2018-01-21,6,False
2018-01-28,6,False
2018-02-04,5,False
2018-02-11,9,False
2018-02-18,8,False
2018-02-25,12,False
2018-03-04,12,False
2018-03-11,9,False
2018-03-18,15,False
2018-03-25,14,False
2018-04-01,21,False
2018-04-08,12,False
2018-04-15,19,False
2018-04-22,28,False
2018-04-29,18,False
2018-05-06,27,False
2018-05-13,14,False
2018-05-20,20,False
2018-05-27,19,False
2018-06-03,24,False
2018-06-10,12,False
2018-06-17,15,False
2018-06-24,32,False
2018-07-01,42,False
2018-07-08,42,False
2018-07-15,36,False
2018-07-22,48,False
2018-07-29,65,False
2018-08-05,53,False
2018-08-12,33,False
2018-08-19,32,False
2018-08-26,17,False
2018-09-02,16,False
2018-09-09,16,False
2018-09-16,14,False
2018-09-23,8,False
2018-09-30,7,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,5,False
2018-10-28,4,False
2018-11-04,6,False
2018-11-11,5,False
2018-11-18,3,False
2018-11-25,6,False
2018-12-02,4,False
2018-12-09,2,False
2018-12-16,4,False
2018-12-23,8,False
2018-12-30,6,False
2019-01-06,6,False
2019-01-13,9,False
2019-01-20,7,False
2019-01-27,11,False
2019-02-03,3,False
2019-02-10,10,False
2019-02-17,18,False
2019-02-24,21,False
2019-03-03,18,False
2019-03-10,16,False
2019-03-17,27,False
2019-03-24,22,False
2019-03-31,11,False
2019-04-07,10,False
2019-04-14,21,False
2019-04-21,23,False
2019-04-28,18,False
2019-05-05,20,False
2019-05-12,9,False
2019-05-19,15,False
2019-05-26,17,False
2019-06-02,44,False
2019-06-09,23,False
2019-06-16,26,False
2019-06-23,86,False
2019-06-30,67,False
2019-07-07,30,False
2019-07-14,23,False
2019-07-21,40,False
2019-07-28,29,False
2019-08-04,32,False
2019-08-11,19,False
2019-08-18,14,False
2019-08-25,33,False
2019-09-01,14,False
2019-09-08,18,False
2019-09-15,13,False
2019-09-22,13,False
2019-09-29,10,False
2019-10-06,5,False
2019-10-13,5,False
2019-10-20,8,False
2019-10-27,9,False
2019-11-03,7,False
2019-11-10,10,False
2019-11-17,3,False
2019-11-24,4,False
2019-12-01,3,False
2019-12-08,3,False
2019-12-15,4,False
2019-12-22,6,False
2019-12-29,9,False
2020-01-05,8,False
2020-01-12,8,False
2020-01-19,13,False
2020-01-26,6,False
2020-02-02,9,False
2020-02-09,14,False
2020-02-16,11,False
2020-02-23,13,False
2020-03-01,16,False
2020-03-08,11,False
2020-03-15,11,False
2020-03-22,16,False
2020-03-29,23,False
2020-04-05,57,False
2020-04-12,66,False
2020-04-19,53,False
2020-04-26,46,False
2020-05-03,47,False
2020-05-10,38,False
2020-05-17,100,False
2020-05-24,92,False
2020-05-31,91,False
2020-06-07,39,False
2020-06-14,26,False
2020-06-21,55,True
