date,piscine semi enterrée,isPartial
2018-01-07,9,False
2018-01-14,8,False
2018-01-21,17,False
2018-01-28,13,False
2018-02-04,9,False
2018-02-11,9,False
2018-02-18,18,False
2018-02-25,9,False
2018-03-04,9,False
2018-03-11,9,False
2018-03-18,13,False
2018-03-25,13,False
2018-04-01,0,False
2018-04-08,13,False
2018-04-15,16,False
2018-04-22,33,False
2018-04-29,27,False
2018-05-06,31,False
2018-05-13,17,False
2018-05-20,15,False
2018-05-27,17,False
2018-06-03,34,False
2018-06-10,25,False
2018-06-17,17,False
2018-06-24,43,False
2018-07-01,59,False
2018-07-08,44,False
2018-07-15,22,False
2018-07-22,56,False
2018-07-29,64,False
2018-08-05,65,False
2018-08-12,50,False
2018-08-19,34,False
2018-08-26,12,False
2018-09-02,12,False
2018-09-09,21,False
2018-09-16,8,False
2018-09-23,9,False
2018-09-30,9,False
2018-10-07,13,False
2018-10-14,12,False
2018-10-21,12,False
2018-10-28,14,False
2018-11-04,0,False
2018-11-11,16,False
2018-11-18,8,False
2018-11-25,9,False
2018-12-02,9,False
2018-12-09,9,False
2018-12-16,9,False
2018-12-23,16,False
2018-12-30,15,False
2019-01-06,9,False
2019-01-13,17,False
2019-01-20,17,False
2019-01-27,8,False
2019-02-03,8,False
2019-02-10,14,False
2019-02-17,9,False
2019-02-24,18,False
2019-03-03,11,False
2019-03-10,14,False
2019-03-17,17,False
2019-03-24,18,False
2019-03-31,15,False
2019-04-07,27,False
2019-04-14,32,False
2019-04-21,23,False
2019-04-28,10,False
2019-05-05,0,False
2019-05-12,18,False
2019-05-19,12,False
2019-05-26,14,False
2019-06-02,41,False
2019-06-09,18,False
2019-06-16,9,False
2019-06-23,99,False
2019-06-30,60,False
2019-07-07,28,False
2019-07-14,26,False
2019-07-21,28,False
2019-07-28,15,False
2019-08-04,46,False
2019-08-11,24,False
2019-08-18,11,False
2019-08-25,17,False
2019-09-01,12,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,17,False
2019-09-29,8,False
2019-10-06,17,False
2019-10-13,9,False
2019-10-20,9,False
2019-10-27,14,False
2019-11-03,8,False
2019-11-10,9,False
2019-11-17,13,False
2019-11-24,8,False
2019-12-01,8,False
2019-12-08,0,False
2019-12-15,8,False
2019-12-22,0,False
2019-12-29,10,False
2020-01-05,8,False
2020-01-12,8,False
2020-01-19,14,False
2020-01-26,8,False
2020-02-02,13,False
2020-02-09,0,False
2020-02-16,12,False
2020-02-23,20,False
2020-03-01,13,False
2020-03-08,12,False
2020-03-15,8,False
2020-03-22,17,False
2020-03-29,23,False
2020-04-05,56,False
2020-04-12,63,False
2020-04-19,33,False
2020-04-26,33,False
2020-05-03,39,False
2020-05-10,30,False
2020-05-17,77,False
2020-05-24,46,False
2020-05-31,100,False
2020-06-07,34,False
2020-06-14,30,False
2020-06-21,68,True
