date,piscine semi enterrée,isPartial
2018-01-07,46,False
2018-01-14,23,False
2018-01-21,0,False
2018-01-28,23,False
2018-02-04,46,False
2018-02-11,23,False
2018-02-18,46,False
2018-02-25,45,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,35,False
2018-03-25,32,False
2018-04-01,48,False
2018-04-08,22,False
2018-04-15,37,False
2018-04-22,25,False
2018-04-29,47,False
2018-05-06,23,False
2018-05-13,46,False
2018-05-20,32,False
2018-05-27,46,False
2018-06-03,23,False
2018-06-10,34,False
2018-06-17,47,False
2018-06-24,58,False
2018-07-01,30,False
2018-07-08,23,False
2018-07-15,59,False
2018-07-22,46,False
2018-07-29,23,False
2018-08-05,44,False
2018-08-12,45,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,0,False
2018-10-21,38,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,24,False
2018-12-02,37,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,35,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,25,False
2019-02-17,37,False
2019-02-24,48,False
2019-03-03,35,False
2019-03-10,49,False
2019-03-17,33,False
2019-03-24,49,False
2019-03-31,47,False
2019-04-07,36,False
2019-04-14,40,False
2019-04-21,23,False
2019-04-28,47,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,46,False
2019-05-26,45,False
2019-06-02,43,False
2019-06-09,35,False
2019-06-16,66,False
2019-06-23,51,False
2019-06-30,58,False
2019-07-07,44,False
2019-07-14,22,False
2019-07-21,30,False
2019-07-28,30,False
2019-08-04,34,False
2019-08-11,51,False
2019-08-18,28,False
2019-08-25,30,False
2019-09-01,22,False
2019-09-08,22,False
2019-09-15,22,False
2019-09-22,43,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,20,False
2019-12-22,23,False
2019-12-29,29,False
2020-01-05,20,False
2020-01-12,19,False
2020-01-19,0,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,40,False
2020-02-23,0,False
2020-03-01,31,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,17,False
2020-03-29,25,False
2020-04-05,34,False
2020-04-12,40,False
2020-04-19,28,False
2020-04-26,37,False
2020-05-03,24,False
2020-05-10,49,False
2020-05-17,66,False
2020-05-24,100,False
2020-05-31,34,False
2020-06-07,28,False
2020-06-14,27,False
2020-06-21,67,True
