date,Pintores,isPartial
2018-01-07,43,False
2018-01-14,66,False
2018-01-21,51,False
2018-01-28,58,False
2018-02-04,79,False
2018-02-11,30,False
2018-02-18,89,False
2018-02-25,56,False
2018-03-04,31,False
2018-03-11,42,False
2018-03-18,43,False
2018-03-25,46,False
2018-04-01,35,False
2018-04-08,77,False
2018-04-15,37,False
2018-04-22,80,False
2018-04-29,51,False
2018-05-06,59,False
2018-05-13,91,False
2018-05-20,67,False
2018-05-27,44,False
2018-06-03,53,False
2018-06-10,42,False
2018-06-17,70,False
2018-06-24,31,False
2018-07-01,31,False
2018-07-08,38,False
2018-07-15,88,False
2018-07-22,64,False
2018-07-29,31,False
2018-08-05,53,False
2018-08-12,37,False
2018-08-19,45,False
2018-08-26,37,False
2018-09-02,66,False
2018-09-09,45,False
2018-09-16,52,False
2018-09-23,51,False
2018-09-30,37,False
2018-10-07,89,False
2018-10-14,50,False
2018-10-21,66,False
2018-10-28,43,False
2018-11-04,30,False
2018-11-11,74,False
2018-11-18,41,False
2018-11-25,65,False
2018-12-02,22,False
2018-12-09,67,False
2018-12-16,81,False
2018-12-23,59,False
2018-12-30,54,False
2019-01-06,64,False
2019-01-13,69,False
2019-01-20,53,False
2019-01-27,82,False
2019-02-03,29,False
2019-02-10,57,False
2019-02-17,86,False
2019-02-24,43,False
2019-03-03,87,False
2019-03-10,44,False
2019-03-17,66,False
2019-03-24,66,False
2019-03-31,48,False
2019-04-07,72,False
2019-04-14,41,False
2019-04-21,82,False
2019-04-28,69,False
2019-05-05,32,False
2019-05-12,43,False
2019-05-19,85,False
2019-05-26,43,False
2019-06-02,35,False
2019-06-09,53,False
2019-06-16,52,False
2019-06-23,55,False
2019-06-30,45,False
2019-07-07,44,False
2019-07-14,67,False
2019-07-21,46,False
2019-07-28,23,False
2019-08-04,60,False
2019-08-11,36,False
2019-08-18,74,False
2019-08-25,48,False
2019-09-01,72,False
2019-09-08,71,False
2019-09-15,47,False
2019-09-22,47,False
2019-09-29,40,False
2019-10-06,47,False
2019-10-13,29,False
2019-10-20,96,False
2019-10-27,56,False
2019-11-03,62,False
2019-11-10,56,False
2019-11-17,56,False
2019-11-24,42,False
2019-12-01,75,False
2019-12-08,57,False
2019-12-15,25,False
2019-12-22,39,False
2019-12-29,20,False
2020-01-05,44,False
2020-01-12,70,False
2020-01-19,34,False
2020-01-26,100,False
2020-02-02,45,False
2020-02-09,66,False
2020-02-16,99,False
2020-02-23,82,False
2020-03-01,45,False
2020-03-08,67,False
2020-03-15,55,False
2020-03-22,61,False
2020-03-29,47,False
2020-04-05,75,False
2020-04-12,42,False
2020-04-19,83,False
2020-04-26,57,False
2020-05-03,74,False
2020-05-10,77,False
2020-05-17,62,True
