date,Metallbaumeister,isPartial
2018-01-07,41,False
2018-01-14,40,False
2018-01-21,74,False
2018-01-28,27,False
2018-02-04,52,False
2018-02-11,48,False
2018-02-18,41,False
2018-02-25,41,False
2018-03-04,41,False
2018-03-11,34,False
2018-03-18,21,False
2018-03-25,33,False
2018-04-01,29,False
2018-04-08,63,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,43,False
2018-05-06,32,False
2018-05-13,20,False
2018-05-20,66,False
2018-05-27,42,False
2018-06-03,31,False
2018-06-10,40,False
2018-06-17,41,False
2018-06-24,31,False
2018-07-01,34,False
2018-07-08,62,False
2018-07-15,43,False
2018-07-22,32,False
2018-07-29,28,False
2018-08-05,35,False
2018-08-12,36,False
2018-08-19,42,False
2018-08-26,35,False
2018-09-02,31,False
2018-09-09,55,False
2018-09-16,21,False
2018-09-23,31,False
2018-09-30,21,False
2018-10-07,41,False
2018-10-14,41,False
2018-10-21,31,False
2018-10-28,34,False
2018-11-04,46,False
2018-11-11,41,False
2018-11-18,39,False
2018-11-25,40,False
2018-12-02,53,False
2018-12-09,27,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,43,False
2019-01-06,38,False
2019-01-13,38,False
2019-01-20,37,False
2019-01-27,38,False
2019-02-03,32,False
2019-02-10,19,False
2019-02-17,29,False
2019-02-24,20,False
2019-03-03,26,False
2019-03-10,25,False
2019-03-17,30,False
2019-03-24,33,False
2019-03-31,20,False
2019-04-07,26,False
2019-04-14,21,False
2019-04-21,31,False
2019-04-28,39,False
2019-05-05,19,False
2019-05-12,26,False
2019-05-19,32,False
2019-05-26,20,False
2019-06-02,19,False
2019-06-09,53,False
2019-06-16,60,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,19,False
2019-07-14,31,False
2019-07-21,28,False
2019-07-28,41,False
2019-08-04,31,False
2019-08-11,26,False
2019-08-18,41,False
2019-08-25,39,False
2019-09-01,26,False
2019-09-08,39,False
2019-09-15,20,False
2019-09-22,25,False
2019-09-29,51,False
2019-10-06,19,False
2019-10-13,44,False
2019-10-20,56,False
2019-10-27,31,False
2019-11-03,18,False
2019-11-10,54,False
2019-11-17,100,False
2019-11-24,24,False
2019-12-01,18,False
2019-12-08,27,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,20,False
2020-01-05,88,False
2020-01-12,50,False
2020-01-19,43,False
2020-01-26,40,False
2020-02-02,17,False
2020-02-09,28,False
2020-02-16,47,False
2020-02-23,45,False
2020-03-01,42,False
2020-03-08,24,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,16,False
2020-04-05,17,False
2020-04-12,27,False
2020-04-19,47,False
2020-04-26,31,False
2020-05-03,23,False
2020-05-10,32,False
