date,Solartechnik,isPartial
2018-01-07,27,False
2018-01-14,39,False
2018-01-21,53,False
2018-01-28,53,False
2018-02-04,27,False
2018-02-11,54,False
2018-02-18,27,False
2018-02-25,40,False
2018-03-04,27,False
2018-03-11,53,False
2018-03-18,45,False
2018-03-25,29,False
2018-04-01,43,False
2018-04-08,27,False
2018-04-15,41,False
2018-04-22,52,False
2018-04-29,27,False
2018-05-06,42,False
2018-05-13,40,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,51,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,38,False
2018-07-15,54,False
2018-07-22,42,False
2018-07-29,42,False
2018-08-05,28,False
2018-08-12,28,False
2018-08-19,37,False
2018-08-26,27,False
2018-09-02,81,False
2018-09-09,41,False
2018-09-16,27,False
2018-09-23,36,False
2018-09-30,55,False
2018-10-07,0,False
2018-10-14,28,False
2018-10-21,27,False
2018-10-28,40,False
2018-11-04,0,False
2018-11-11,26,False
2018-11-18,34,False
2018-11-25,34,False
2018-12-02,34,False
2018-12-09,77,False
2018-12-16,40,False
2018-12-23,30,False
2018-12-30,37,False
2019-01-06,37,False
2019-01-13,24,False
2019-01-20,37,False
2019-01-27,36,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,63,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,37,False
2019-03-17,43,False
2019-03-24,39,False
2019-03-31,25,False
2019-04-07,25,False
2019-04-14,55,False
2019-04-21,41,False
2019-04-28,0,False
2019-05-05,41,False
2019-05-12,51,False
2019-05-19,38,False
2019-05-26,26,False
2019-06-02,50,False
2019-06-09,26,False
2019-06-16,52,False
2019-06-23,77,False
2019-06-30,50,False
2019-07-07,100,False
2019-07-14,26,False
2019-07-21,57,False
2019-07-28,42,False
2019-08-04,42,False
2019-08-11,27,False
2019-08-18,26,False
2019-08-25,51,False
2019-09-01,38,False
2019-09-08,51,False
2019-09-15,34,False
2019-09-22,37,False
2019-09-29,25,False
2019-10-06,25,False
2019-10-13,37,False
2019-10-20,42,False
2019-10-27,61,False
2019-11-03,39,False
2019-11-10,47,False
2019-11-17,31,False
2019-11-24,23,False
2019-12-01,63,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,27,False
2019-12-29,52,False
2020-01-05,56,False
2020-01-12,22,False
2020-01-19,46,False
2020-01-26,22,False
2020-02-02,59,False
2020-02-09,72,False
2020-02-16,45,False
2020-02-23,22,False
2020-03-01,65,False
2020-03-08,21,False
2020-03-15,54,False
2020-03-22,20,False
2020-03-29,40,False
2020-04-05,22,False
2020-04-12,35,False
2020-04-19,34,False
2020-04-26,33,False
2020-05-03,41,False
2020-05-10,27,False
