date,Solartechnik,isPartial
2018-01-07,25,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,25,False
2018-02-04,0,False
2018-02-11,50,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,25,False
2018-03-18,100,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,26,False
2018-04-22,0,False
2018-04-29,53,False
2018-05-06,26,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,27,False
2018-06-03,52,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,49,False
2018-07-08,50,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,80,False
2018-08-05,0,False
2018-08-12,28,False
2018-08-19,85,False
2018-08-26,42,False
2018-09-02,0,False
2018-09-09,26,False
2018-09-16,0,False
2018-09-23,26,False
2018-09-30,26,False
2018-10-07,0,False
2018-10-14,37,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,78,False
2019-01-06,23,False
2019-01-13,46,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,35,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,24,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,35,False
2019-04-14,25,False
2019-04-21,0,False
2019-04-28,24,False
2019-05-05,23,False
2019-05-12,23,False
2019-05-19,0,False
2019-05-26,24,False
2019-06-02,24,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,51,False
2019-08-18,26,False
2019-08-25,0,False
2019-09-01,25,False
2019-09-08,48,False
2019-09-15,24,False
2019-09-22,23,False
2019-09-29,23,False
2019-10-06,34,False
2019-10-13,22,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,0,False
2019-12-29,24,False
2020-01-05,43,False
2020-01-12,0,False
2020-01-19,43,False
2020-01-26,21,False
2020-02-02,21,False
2020-02-09,0,False
2020-02-16,44,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,38,False
2020-03-15,0,False
2020-03-22,18,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,19,False
2020-04-19,47,False
2020-04-26,18,False
2020-05-03,19,False
2020-05-10,47,False
