date,Elektroschrott entsorgen,isPartial
2018-01-07,35,False
2018-01-14,69,False
2018-01-21,0,False
2018-01-28,35,False
2018-02-04,0,False
2018-02-11,35,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,36,False
2018-03-25,36,False
2018-04-01,35,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,37,False
2018-05-13,0,False
2018-05-20,36,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,34,False
2018-06-17,0,False
2018-06-24,35,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,58,False
2018-07-22,37,False
2018-07-29,35,False
2018-08-05,0,False
2018-08-12,32,False
2018-08-19,33,False
2018-08-26,34,False
2018-09-02,0,False
2018-09-09,34,False
2018-09-16,34,False
2018-09-23,0,False
2018-09-30,36,False
2018-10-07,54,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,34,False
2018-11-04,0,False
2018-11-11,34,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,33,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,64,False
2019-01-13,32,False
2019-01-20,32,False
2019-01-27,33,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,67,False
2019-02-24,34,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,0,False
2019-03-24,34,False
2019-03-31,67,False
2019-04-07,0,False
2019-04-14,37,False
2019-04-21,34,False
2019-04-28,33,False
2019-05-05,65,False
2019-05-12,33,False
2019-05-19,65,False
2019-05-26,50,False
2019-06-02,32,False
2019-06-09,0,False
2019-06-16,32,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,100,False
2019-07-14,70,False
2019-07-21,36,False
2019-07-28,34,False
2019-08-04,67,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,32,False
2019-09-01,0,False
2019-09-08,31,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,32,False
2019-10-06,32,False
2019-10-13,0,False
2019-10-20,31,False
2019-10-27,30,False
2019-11-03,0,False
2019-11-10,30,False
2019-11-17,31,False
2019-11-24,29,False
2019-12-01,30,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,62,False
2020-01-05,29,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,29,False
2020-02-02,43,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,0,False
2020-03-08,27,False
2020-03-15,26,False
2020-03-22,40,False
2020-03-29,26,False
2020-04-05,58,False
2020-04-12,28,False
2020-04-19,53,False
2020-04-26,43,False
2020-05-03,0,False
2020-05-10,39,False
