date,Elektroschrott entsorgen,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,65,False
2018-01-28,48,False
2018-02-04,0,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,33,False
2018-03-11,97,False
2018-03-18,81,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,66,False
2018-04-15,34,False
2018-04-22,0,False
2018-04-29,67,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,69,False
2018-05-27,81,False
2018-06-03,64,False
2018-06-10,31,False
2018-06-17,31,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,34,False
2018-08-05,0,False
2018-08-12,34,False
2018-08-19,66,False
2018-08-26,33,False
2018-09-02,49,False
2018-09-09,66,False
2018-09-16,65,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,66,False
2018-10-14,50,False
2018-10-21,100,False
2018-10-28,65,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,62,False
2018-12-02,31,False
2018-12-09,32,False
2018-12-16,32,False
2018-12-23,37,False
2018-12-30,34,False
2019-01-06,30,False
2019-01-13,30,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,30,False
2019-02-10,61,False
2019-02-17,31,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,60,False
2019-03-17,31,False
2019-03-24,47,False
2019-03-31,30,False
2019-04-07,31,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,47,False
2019-05-05,0,False
2019-05-12,63,False
2019-05-19,61,False
2019-05-26,63,False
2019-06-02,62,False
2019-06-09,31,False
2019-06-16,64,False
2019-06-23,63,False
2019-06-30,62,False
2019-07-07,31,False
2019-07-14,49,False
2019-07-21,35,False
2019-07-28,67,False
2019-08-04,34,False
2019-08-11,33,False
2019-08-18,32,False
2019-08-25,31,False
2019-09-01,92,False
2019-09-08,62,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,60,False
2019-10-13,0,False
2019-10-20,76,False
2019-10-27,30,False
2019-11-03,71,False
2019-11-10,29,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,56,False
2019-12-08,42,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,63,False
2020-01-05,28,False
2020-01-12,53,False
2020-01-19,0,False
2020-01-26,82,False
2020-02-02,27,False
2020-02-09,26,False
2020-02-16,28,False
2020-02-23,39,False
2020-03-01,26,False
2020-03-08,37,False
2020-03-15,25,False
2020-03-22,37,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,38,False
2020-04-19,63,False
2020-04-26,73,False
2020-05-03,38,False
2020-05-10,63,False
