date,tailleur sur mesure,isPartial
2018-01-07,49,False
2018-01-14,0,False
2018-01-21,36,False
2018-01-28,48,False
2018-02-04,47,False
2018-02-11,0,False
2018-02-18,37,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,24,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,79,False
2018-04-22,25,False
2018-04-29,75,False
2018-05-06,39,False
2018-05-13,49,False
2018-05-20,0,False
2018-05-27,36,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,24,False
2018-07-08,50,False
2018-07-15,26,False
2018-07-22,26,False
2018-07-29,26,False
2018-08-05,53,False
2018-08-12,27,False
2018-08-19,53,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,25,False
2018-09-30,37,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,50,False
2018-11-04,0,False
2018-11-11,71,False
2018-11-18,36,False
2018-11-25,0,False
2018-12-02,24,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,84,False
2018-12-30,26,False
2019-01-06,36,False
2019-01-13,0,False
2019-01-20,46,False
2019-01-27,46,False
2019-02-03,23,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,49,False
2019-03-03,24,False
2019-03-10,73,False
2019-03-17,25,False
2019-03-24,100,False
2019-03-31,24,False
2019-04-07,50,False
2019-04-14,38,False
2019-04-21,49,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,24,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,24,False
2019-06-23,24,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,78,False
2019-08-11,51,False
2019-08-18,25,False
2019-08-25,24,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,89,False
2019-10-06,34,False
2019-10-13,22,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,22,False
2019-11-10,44,False
2019-11-17,22,False
2019-11-24,42,False
2019-12-01,86,False
2019-12-08,21,False
2019-12-15,66,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,21,False
2020-01-12,31,False
2020-01-19,0,False
2020-01-26,42,False
2020-02-02,21,False
2020-02-09,42,False
2020-02-16,43,False
2020-02-23,20,False
2020-03-01,41,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,19,False
2020-04-12,45,True
