date,Glaswerkstatt,isPartial
2018-01-07,32,False
2018-01-14,62,False
2018-01-21,31,False
2018-01-28,32,False
2018-02-04,32,False
2018-02-11,65,False
2018-02-18,32,False
2018-02-25,42,False
2018-03-04,32,False
2018-03-11,63,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,34,False
2018-04-22,32,False
2018-04-29,34,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,49,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,63,False
2018-06-24,65,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,49,False
2018-07-22,33,False
2018-07-29,100,False
2018-08-05,33,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,33,False
2018-09-02,49,False
2018-09-09,32,False
2018-09-16,33,False
2018-09-23,65,False
2018-09-30,33,False
2018-10-07,33,False
2018-10-14,48,False
2018-10-21,64,False
2018-10-28,31,False
2018-11-04,31,False
2018-11-11,63,False
2018-11-18,0,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,44,False
2019-01-27,0,False
2019-02-03,45,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,0,False
2019-03-03,30,False
2019-03-10,29,False
2019-03-17,31,False
2019-03-24,31,False
2019-03-31,46,False
2019-04-07,61,False
2019-04-14,0,False
2019-04-21,64,False
2019-04-28,45,False
2019-05-05,30,False
2019-05-12,72,False
2019-05-19,92,False
2019-05-26,47,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,32,False
2019-06-23,93,False
2019-06-30,61,False
2019-07-07,40,False
2019-07-14,32,False
2019-07-21,0,False
2019-07-28,48,False
2019-08-04,33,False
2019-08-11,31,False
2019-08-18,42,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,90,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,58,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,47,False
2019-11-24,0,False
2019-12-01,29,False
2019-12-08,43,False
2019-12-15,58,False
2019-12-22,33,False
2019-12-29,31,False
2020-01-05,27,False
2020-01-12,40,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,54,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,27,False
2020-04-12,26,False
2020-04-19,25,False
2020-04-26,0,False
2020-05-03,24,False
2020-05-10,25,False
