date,Rollgerüst,isPartial
2018-01-07,27,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,26,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,53,False
2018-02-25,40,False
2018-03-04,26,False
2018-03-11,26,False
2018-03-18,27,False
2018-03-25,0,False
2018-04-01,45,False
2018-04-08,0,False
2018-04-15,69,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,28,False
2018-05-13,40,False
2018-05-20,28,False
2018-05-27,51,False
2018-06-03,27,False
2018-06-10,77,False
2018-06-17,39,False
2018-06-24,27,False
2018-07-01,42,False
2018-07-08,47,False
2018-07-15,29,False
2018-07-22,28,False
2018-07-29,27,False
2018-08-05,25,False
2018-08-12,100,False
2018-08-19,0,False
2018-08-26,26,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,26,False
2018-09-23,0,False
2018-09-30,55,False
2018-10-07,41,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,52,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,0,False
2019-01-27,25,False
2019-02-03,25,False
2019-02-10,26,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,49,False
2019-03-17,25,False
2019-03-24,26,False
2019-03-31,26,False
2019-04-07,27,False
2019-04-14,43,False
2019-04-21,26,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,50,False
2019-05-26,0,False
2019-06-02,49,False
2019-06-09,50,False
2019-06-16,0,False
2019-06-23,25,False
2019-06-30,38,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,42,False
2019-07-28,39,False
2019-08-04,26,False
2019-08-11,31,False
2019-08-18,49,False
2019-08-25,24,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,41,False
2019-09-22,24,False
2019-09-29,41,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,45,False
2019-12-01,0,False
2019-12-08,38,False
2019-12-15,23,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,43,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,21,False
2020-02-16,22,False
2020-02-23,22,False
2020-03-01,22,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,40,False
2020-04-05,44,False
2020-04-12,32,False
2020-04-19,20,False
2020-04-26,26,False
2020-05-03,61,False
2020-05-10,0,False
