date,Marokkanische Fliesen,isPartial
2018-01-07,29,False
2018-01-14,28,False
2018-01-21,0,False
2018-01-28,29,False
2018-02-04,29,False
2018-02-11,39,False
2018-02-18,59,False
2018-02-25,57,False
2018-03-04,57,False
2018-03-11,48,False
2018-03-18,29,False
2018-03-25,41,False
2018-04-01,62,False
2018-04-08,60,False
2018-04-15,30,False
2018-04-22,39,False
2018-04-29,30,False
2018-05-06,61,False
2018-05-13,29,False
2018-05-20,31,False
2018-05-27,60,False
2018-06-03,59,False
2018-06-10,28,False
2018-06-17,29,False
2018-06-24,0,False
2018-07-01,29,False
2018-07-08,87,False
2018-07-15,30,False
2018-07-22,90,False
2018-07-29,45,False
2018-08-05,30,False
2018-08-12,30,False
2018-08-19,75,False
2018-08-26,30,False
2018-09-02,29,False
2018-09-09,49,False
2018-09-16,29,False
2018-09-23,29,False
2018-09-30,39,False
2018-10-07,44,False
2018-10-14,29,False
2018-10-21,43,False
2018-10-28,28,False
2018-11-04,46,False
2018-11-11,0,False
2018-11-18,27,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,28,False
2018-12-16,29,False
2018-12-23,100,False
2018-12-30,70,False
2019-01-06,54,False
2019-01-13,53,False
2019-01-20,26,False
2019-01-27,40,False
2019-02-03,27,False
2019-02-10,27,False
2019-02-17,27,False
2019-02-24,42,False
2019-03-03,27,False
2019-03-10,40,False
2019-03-17,28,False
2019-03-24,46,False
2019-03-31,42,False
2019-04-07,27,False
2019-04-14,60,False
2019-04-21,29,False
2019-04-28,0,False
2019-05-05,40,False
2019-05-12,42,False
2019-05-19,41,False
2019-05-26,0,False
2019-06-02,46,False
2019-06-09,0,False
2019-06-16,42,False
2019-06-23,28,False
2019-06-30,37,False
2019-07-07,27,False
2019-07-14,76,False
2019-07-21,30,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,42,False
2019-08-18,57,False
2019-08-25,28,False
2019-09-01,41,False
2019-09-08,41,False
2019-09-15,69,False
2019-09-22,27,False
2019-09-29,54,False
2019-10-06,40,False
2019-10-13,40,False
2019-10-20,40,False
2019-10-27,0,False
2019-11-03,38,False
2019-11-10,38,False
2019-11-17,51,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,77,False
2019-12-15,44,False
2019-12-22,0,False
2019-12-29,37,False
2020-01-05,25,False
2020-01-12,32,False
2020-01-19,41,False
2020-01-26,0,False
2020-02-02,24,False
2020-02-09,48,False
2020-02-16,37,False
2020-02-23,24,False
2020-03-01,59,False
2020-03-08,22,False
2020-03-15,37,False
2020-03-22,44,False
2020-03-29,44,False
2020-04-05,24,False
2020-04-12,58,False
2020-04-19,0,False
2020-04-26,22,False
2020-05-03,55,False
2020-05-10,44,False
