date,Eisstrahlen,isPartial
2018-01-07,40,False
2018-01-14,20,False
2018-01-21,60,False
2018-01-28,81,False
2018-02-04,31,False
2018-02-11,42,False
2018-02-18,62,False
2018-02-25,20,False
2018-03-04,31,False
2018-03-11,41,False
2018-03-18,21,False
2018-03-25,43,False
2018-04-01,33,False
2018-04-08,21,False
2018-04-15,22,False
2018-04-22,41,False
2018-04-29,43,False
2018-05-06,22,False
2018-05-13,41,False
2018-05-20,22,False
2018-05-27,0,False
2018-06-03,21,False
2018-06-10,40,False
2018-06-17,0,False
2018-06-24,31,False
2018-07-01,20,False
2018-07-08,0,False
2018-07-15,64,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,21,False
2018-08-19,0,False
2018-08-26,32,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,0,False
2018-09-23,21,False
2018-09-30,42,False
2018-10-07,21,False
2018-10-14,0,False
2018-10-21,31,False
2018-10-28,40,False
2018-11-04,39,False
2018-11-11,20,False
2018-11-18,39,False
2018-11-25,59,False
2018-12-02,20,False
2018-12-09,0,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,42,False
2019-01-06,57,False
2019-01-13,56,False
2019-01-20,37,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,40,False
2019-03-03,29,False
2019-03-10,38,False
2019-03-17,50,False
2019-03-24,100,False
2019-03-31,30,False
2019-04-07,40,False
2019-04-14,21,False
2019-04-21,21,False
2019-04-28,19,False
2019-05-05,29,False
2019-05-12,40,False
2019-05-19,20,False
2019-05-26,0,False
2019-06-02,39,False
2019-06-09,40,False
2019-06-16,30,False
2019-06-23,0,False
2019-06-30,29,False
2019-07-07,19,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,63,False
2019-08-11,0,False
2019-08-18,20,False
2019-08-25,40,False
2019-09-01,38,False
2019-09-08,20,False
2019-09-15,49,False
2019-09-22,29,False
2019-09-29,38,False
2019-10-06,0,False
2019-10-13,38,False
2019-10-20,37,False
2019-10-27,18,False
2019-11-03,36,False
2019-11-10,18,False
2019-11-17,54,False
2019-11-24,27,False
2019-12-01,36,False
2019-12-08,46,False
2019-12-15,19,False
2019-12-22,21,False
2019-12-29,20,False
2020-01-05,17,False
2020-01-12,34,False
2020-01-19,43,False
2020-01-26,43,False
2020-02-02,17,False
2020-02-09,34,False
2020-02-16,26,False
2020-02-23,17,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,31,False
2020-03-29,31,False
2020-04-05,43,False
2020-04-12,66,False
2020-04-19,0,False
2020-04-26,31,False
2020-05-03,55,False
2020-05-10,78,False
