date,Türöffnung,isPartial
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,58,False
2018-01-28,23,False
2018-02-04,24,False
2018-02-11,40,False
2018-02-18,31,False
2018-02-25,35,False
2018-03-04,24,False
2018-03-11,94,False
2018-03-18,24,False
2018-03-25,50,False
2018-04-01,25,False
2018-04-08,36,False
2018-04-15,37,False
2018-04-22,70,False
2018-04-29,49,False
2018-05-06,0,False
2018-05-13,23,False
2018-05-20,50,False
2018-05-27,35,False
2018-06-03,35,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,24,False
2018-07-01,70,False
2018-07-08,23,False
2018-07-15,61,False
2018-07-22,25,False
2018-07-29,100,False
2018-08-05,25,False
2018-08-12,0,False
2018-08-19,61,False
2018-08-26,24,False
2018-09-02,32,False
2018-09-09,0,False
2018-09-16,48,False
2018-09-23,24,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,40,False
2018-10-21,32,False
2018-10-28,35,False
2018-11-04,34,False
2018-11-11,46,False
2018-11-18,34,False
2018-11-25,23,False
2018-12-02,34,False
2018-12-09,53,False
2018-12-16,71,False
2018-12-23,80,False
2018-12-30,41,False
2019-01-06,44,False
2019-01-13,21,False
2019-01-20,22,False
2019-01-27,50,False
2019-02-03,36,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,69,False
2019-03-03,22,False
2019-03-10,29,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,22,False
2019-04-07,30,False
2019-04-14,25,False
2019-04-21,84,False
2019-04-28,30,False
2019-05-05,36,False
2019-05-12,23,False
2019-05-19,22,False
2019-05-26,23,False
2019-06-02,34,False
2019-06-09,23,False
2019-06-16,34,False
2019-06-23,23,False
2019-06-30,45,False
2019-07-07,44,False
2019-07-14,71,False
2019-07-21,26,False
2019-07-28,37,False
2019-08-04,25,False
2019-08-11,32,False
2019-08-18,35,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,45,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,44,False
2019-10-06,36,False
2019-10-13,0,False
2019-10-20,52,False
2019-10-27,36,False
2019-11-03,27,False
2019-11-10,35,False
2019-11-17,31,False
2019-11-24,20,False
2019-12-01,41,False
2019-12-08,42,False
2019-12-15,42,False
2019-12-22,24,False
2019-12-29,34,False
2020-01-05,40,False
2020-01-12,39,False
2020-01-19,27,False
2020-01-26,60,False
2020-02-02,39,False
2020-02-09,19,False
2020-02-16,80,False
2020-02-23,19,False
2020-03-01,19,False
2020-03-08,18,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,27,False
2020-04-05,19,False
2020-04-12,19,False
2020-04-19,24,False
2020-04-26,35,False
2020-05-03,18,False
2020-05-10,30,False
