date,musica pop,isPartial
2018-01-07,57,False
2018-01-14,58,False
2018-01-21,56,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,27,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,100,False
2018-03-11,0,False
2018-03-18,51,False
2018-03-25,27,False
2018-04-01,56,False
2018-04-08,38,False
2018-04-15,26,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,25,False
2018-05-13,25,False
2018-05-20,25,False
2018-05-27,53,False
2018-06-03,40,False
2018-06-10,38,False
2018-06-17,50,False
2018-06-24,53,False
2018-07-01,26,False
2018-07-08,0,False
2018-07-15,53,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,31,False
2018-09-02,0,False
2018-09-09,38,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,0,False
2018-11-04,36,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,25,False
2018-12-02,47,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,59,False
2019-01-06,29,False
2019-01-13,28,False
2019-01-20,52,False
2019-01-27,36,False
2019-02-03,55,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,25,False
2019-03-03,44,False
2019-03-10,29,False
2019-03-17,29,False
2019-03-24,43,False
2019-03-31,28,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,32,False
2019-04-28,27,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,81,False
2019-05-26,79,False
2019-06-02,0,False
2019-06-09,42,False
2019-06-16,59,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,55,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,74,False
2019-08-18,52,False
2019-08-25,46,False
2019-09-01,26,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,27,False
2019-09-29,53,False
2019-10-06,27,False
2019-10-13,55,False
2019-10-20,27,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,52,False
2019-11-17,53,False
2019-11-24,26,False
2019-12-01,55,False
2019-12-08,55,False
2019-12-15,28,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,41,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,75,False
2020-02-09,25,False
2020-02-16,0,False
2020-02-23,49,False
2020-03-01,37,False
2020-03-08,24,False
2020-03-15,48,False
2020-03-22,91,False
2020-03-29,47,False
2020-04-05,98,False
2020-04-12,74,False
2020-04-19,23,False
2020-04-26,40,True
