date,musica pop,isPartial
2018-01-07,61,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,46,False
2018-02-04,30,False
2018-02-11,62,False
2018-02-18,31,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,0,False
2018-04-15,33,False
2018-04-22,0,False
2018-04-29,66,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,34,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,33,False
2018-07-08,32,False
2018-07-15,68,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,30,False
2018-08-12,31,False
2018-08-19,44,False
2018-08-26,63,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,33,False
2018-10-28,0,False
2018-11-04,33,False
2018-11-11,51,False
2018-11-18,0,False
2018-11-25,33,False
2018-12-02,35,False
2018-12-09,68,False
2018-12-16,0,False
2018-12-23,56,False
2018-12-30,0,False
2019-01-06,32,False
2019-01-13,32,False
2019-01-20,0,False
2019-01-27,31,False
2019-02-03,30,False
2019-02-10,30,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,33,False
2019-03-10,63,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,31,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,63,False
2019-05-05,31,False
2019-05-12,30,False
2019-05-19,78,False
2019-05-26,0,False
2019-06-02,31,False
2019-06-09,98,False
2019-06-16,100,False
2019-06-23,32,False
2019-06-30,33,False
2019-07-07,33,False
2019-07-14,31,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,31,False
2019-08-11,0,False
2019-08-18,60,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,59,False
2019-09-29,31,False
2019-10-06,0,False
2019-10-13,31,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,30,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,31,False
2019-12-01,31,False
2019-12-08,31,False
2019-12-15,32,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,31,False
2020-01-12,0,False
2020-01-19,30,False
2020-01-26,29,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,30,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,0,False
2020-03-29,48,False
2020-04-05,25,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,63,True
