date,jardin facile,isPartial
2018-01-07,0,False
2018-01-14,69,False
2018-01-21,68,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,69,False
2018-02-18,0,False
2018-02-25,67,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,69,False
2018-04-01,0,False
2018-04-08,64,False
2018-04-15,75,False
2018-04-22,72,False
2018-04-29,100,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,70,False
2018-05-27,68,False
2018-06-03,69,False
2018-06-10,0,False
2018-06-17,71,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,69,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,71,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,75,False
2018-12-23,83,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,70,False
2019-02-17,0,False
2019-02-24,74,False
2019-03-03,0,False
2019-03-10,72,False
2019-03-17,73,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,70,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,68,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,68,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,62,False
2019-07-21,61,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,62,False
2019-09-08,0,False
2019-09-15,62,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,96,False
2019-10-13,64,False
2019-10-20,0,False
2019-10-27,62,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,62,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,62,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,58,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,63,False
2020-02-16,0,False
2020-02-23,56,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,49,False
2020-03-29,0,False
2020-04-05,51,False
2020-04-12,50,False
2020-04-19,0,False
2020-04-26,48,False
2020-05-03,48,False
2020-05-10,0,False
2020-05-17,0,True
