date,Fertighaus,isPartial
2018-01-07,42,False
2018-01-14,100,False
2018-01-21,33,False
2018-01-28,0,False
2018-02-04,53,False
2018-02-11,70,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,66,False
2018-03-11,34,False
2018-03-18,69,False
2018-03-25,34,False
2018-04-01,67,False
2018-04-08,35,False
2018-04-15,74,False
2018-04-22,52,False
2018-04-29,36,False
2018-05-06,37,False
2018-05-13,0,False
2018-05-20,36,False
2018-05-27,45,False
2018-06-03,70,False
2018-06-10,32,False
2018-06-17,32,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,42,False
2018-07-15,28,False
2018-07-22,39,False
2018-07-29,26,False
2018-08-05,50,False
2018-08-12,0,False
2018-08-19,43,False
2018-08-26,32,False
2018-09-02,100,False
2018-09-09,55,False
2018-09-16,33,False
2018-09-23,51,False
2018-09-30,66,False
2018-10-07,53,False
2018-10-14,34,False
2018-10-21,33,False
2018-10-28,33,False
2018-11-04,97,False
2018-11-11,34,False
2018-11-18,43,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,30,False
2019-01-06,46,False
2019-01-13,31,False
2019-01-20,62,False
2019-01-27,31,False
2019-02-03,33,False
2019-02-10,44,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,0,False
2019-03-10,31,False
2019-03-17,48,False
2019-03-24,48,False
2019-03-31,68,False
2019-04-07,65,False
2019-04-14,67,False
2019-04-21,32,False
2019-04-28,46,False
2019-05-05,62,False
2019-05-12,32,False
2019-05-19,47,False
2019-05-26,45,False
2019-06-02,46,False
2019-06-09,0,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,30,False
2019-07-14,29,False
2019-07-21,40,False
2019-07-28,38,False
2019-08-04,29,False
2019-08-11,28,False
2019-08-18,44,False
2019-08-25,29,False
2019-09-01,86,False
2019-09-08,67,False
2019-09-15,44,False
2019-09-22,44,False
2019-09-29,43,False
2019-10-06,58,False
2019-10-13,27,False
2019-10-20,41,False
2019-10-27,42,False
2019-11-03,83,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,28,False
2019-12-01,73,False
2019-12-08,29,False
2019-12-15,29,False
2019-12-22,30,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,26,False
2020-01-19,0,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,46,False
2020-02-16,84,False
2020-02-23,40,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,37,False
2020-03-22,24,False
2020-03-29,70,False
2020-04-05,26,False
2020-04-12,0,False
2020-04-19,38,False
2020-04-26,32,False
2020-05-03,25,False
2020-05-10,62,False
