date,foto di nozze,isPartial
2018-01-07,31,False
2018-01-14,16,False
2018-01-21,31,False
2018-01-28,23,False
2018-02-04,30,False
2018-02-11,23,False
2018-02-18,15,False
2018-02-25,29,False
2018-03-04,15,False
2018-03-11,76,False
2018-03-18,15,False
2018-03-25,64,False
2018-04-01,41,False
2018-04-08,61,False
2018-04-15,23,False
2018-04-22,16,False
2018-04-29,16,False
2018-05-06,15,False
2018-05-13,46,False
2018-05-20,100,False
2018-05-27,39,False
2018-06-03,31,False
2018-06-10,0,False
2018-06-17,15,False
2018-06-24,0,False
2018-07-01,15,False
2018-07-08,23,False
2018-07-15,47,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,32,False
2018-08-12,26,False
2018-08-19,17,False
2018-08-26,24,False
2018-09-02,0,False
2018-09-09,15,False
2018-09-16,15,False
2018-09-23,23,False
2018-09-30,15,False
2018-10-07,0,False
2018-10-14,47,False
2018-10-21,15,False
2018-10-28,38,False
2018-11-04,15,False
2018-11-11,15,False
2018-11-18,15,False
2018-11-25,38,False
2018-12-02,16,False
2018-12-09,15,False
2018-12-16,32,False
2018-12-23,0,False
2018-12-30,17,False
2019-01-06,31,False
2019-01-13,22,False
2019-01-20,43,False
2019-01-27,14,False
2019-02-03,29,False
2019-02-10,15,False
2019-02-17,0,False
2019-02-24,44,False
2019-03-03,15,False
2019-03-10,15,False
2019-03-17,31,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,15,False
2019-04-14,31,False
2019-04-21,33,False
2019-04-28,15,False
2019-05-05,15,False
2019-05-12,29,False
2019-05-19,15,False
2019-05-26,28,False
2019-06-02,15,False
2019-06-09,0,False
2019-06-16,15,False
2019-06-23,16,False
2019-06-30,16,False
2019-07-07,30,False
2019-07-14,23,False
2019-07-21,23,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,17,False
2019-08-18,0,False
2019-08-25,15,False
2019-09-01,0,False
2019-09-08,22,False
2019-09-15,14,False
2019-09-22,21,False
2019-09-29,28,False
2019-10-06,14,False
2019-10-13,14,False
2019-10-20,14,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,14,False
2019-11-17,14,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,25,False
2019-12-29,16,False
2020-01-05,0,False
2020-01-12,13,False
2020-01-19,13,False
2020-01-26,0,False
2020-02-02,13,False
2020-02-09,27,False
2020-02-16,13,False
2020-02-23,25,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,22,False
2020-03-29,12,False
2020-04-05,0,False
2020-04-12,18,False
2020-04-19,0,False
2020-04-26,0,True
