date,musica matrimoni,isPartial
2018-01-07,41,False
2018-01-14,20,False
2018-01-21,50,False
2018-01-28,39,False
2018-02-04,39,False
2018-02-11,20,False
2018-02-18,29,False
2018-02-25,19,False
2018-03-04,19,False
2018-03-11,0,False
2018-03-18,20,False
2018-03-25,52,False
2018-04-01,42,False
2018-04-08,100,False
2018-04-15,41,False
2018-04-22,42,False
2018-04-29,40,False
2018-05-06,20,False
2018-05-13,20,False
2018-05-20,90,False
2018-05-27,0,False
2018-06-03,61,False
2018-06-10,39,False
2018-06-17,40,False
2018-06-24,50,False
2018-07-01,50,False
2018-07-08,20,False
2018-07-15,20,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,51,False
2018-09-02,39,False
2018-09-09,20,False
2018-09-16,19,False
2018-09-23,39,False
2018-09-30,19,False
2018-10-07,20,False
2018-10-14,41,False
2018-10-21,20,False
2018-10-28,39,False
2018-11-04,19,False
2018-11-11,40,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,20,False
2018-12-09,20,False
2018-12-16,31,False
2018-12-23,47,False
2018-12-30,65,False
2019-01-06,30,False
2019-01-13,39,False
2019-01-20,47,False
2019-01-27,65,False
2019-02-03,28,False
2019-02-10,19,False
2019-02-17,29,False
2019-02-24,0,False
2019-03-03,20,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,20,False
2019-03-31,0,False
2019-04-07,39,False
2019-04-14,20,False
2019-04-21,42,False
2019-04-28,20,False
2019-05-05,28,False
2019-05-12,76,False
2019-05-19,38,False
2019-05-26,18,False
2019-06-02,39,False
2019-06-09,30,False
2019-06-16,59,False
2019-06-23,20,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,40,False
2019-07-21,30,False
2019-07-28,51,False
2019-08-04,21,False
2019-08-11,34,False
2019-08-18,21,False
2019-08-25,19,False
2019-09-01,81,False
2019-09-08,57,False
2019-09-15,18,False
2019-09-22,18,False
2019-09-29,37,False
2019-10-06,19,False
2019-10-13,18,False
2019-10-20,45,False
2019-10-27,27,False
2019-11-03,35,False
2019-11-10,36,False
2019-11-17,0,False
2019-11-24,35,False
2019-12-01,38,False
2019-12-08,19,False
2019-12-15,37,False
2019-12-22,21,False
2019-12-29,41,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,17,False
2020-01-26,17,False
2020-02-02,17,False
2020-02-09,17,False
2020-02-16,61,False
2020-02-23,65,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,16,False
2020-03-22,15,False
2020-03-29,30,False
2020-04-05,31,False
2020-04-12,31,False
2020-04-19,15,False
2020-04-26,39,True
