date,Decke streichen,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,0,False
2018-01-28,42,False
2018-02-04,32,False
2018-02-11,32,False
2018-02-18,64,False
2018-02-25,96,False
2018-03-04,32,False
2018-03-11,64,False
2018-03-18,33,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,70,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,34,False
2018-06-10,33,False
2018-06-17,69,False
2018-06-24,35,False
2018-07-01,70,False
2018-07-08,71,False
2018-07-15,36,False
2018-07-22,70,False
2018-07-29,52,False
2018-08-05,51,False
2018-08-12,52,False
2018-08-19,100,False
2018-08-26,66,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,33,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,64,False
2018-10-28,48,False
2018-11-04,93,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,34,False
2018-12-02,50,False
2018-12-09,34,False
2018-12-16,0,False
2018-12-23,40,False
2018-12-30,36,False
2019-01-06,0,False
2019-01-13,48,False
2019-01-20,32,False
2019-01-27,32,False
2019-02-03,32,False
2019-02-10,64,False
2019-02-17,32,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,48,False
2019-03-17,33,False
2019-03-24,65,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,52,False
2019-04-21,52,False
2019-04-28,33,False
2019-05-05,0,False
2019-05-12,32,False
2019-05-19,48,False
2019-05-26,66,False
2019-06-02,31,False
2019-06-09,32,False
2019-06-16,67,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,34,False
2019-07-14,46,False
2019-07-21,0,False
2019-07-28,53,False
2019-08-04,34,False
2019-08-11,47,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,53,False
2019-09-08,32,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,56,False
2019-10-06,32,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,30,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,0,False
2019-12-01,31,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,36,False
2019-12-29,34,False
2020-01-05,30,False
2020-01-12,29,False
2020-01-19,29,False
2020-01-26,43,False
2020-02-02,47,False
2020-02-09,84,False
2020-02-16,30,False
2020-02-23,29,False
2020-03-01,29,False
2020-03-08,36,False
2020-03-15,27,False
2020-03-22,40,False
2020-03-29,27,False
2020-04-05,29,False
2020-04-12,28,False
2020-04-19,41,False
2020-04-26,40,False
2020-05-03,54,False
2020-05-10,0,False
2020-05-17,0,True
