date,Decke streichen,isPartial
2018-01-07,44,False
2018-01-14,88,False
2018-01-21,44,False
2018-01-28,44,False
2018-02-04,68,False
2018-02-11,0,False
2018-02-18,46,False
2018-02-25,45,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,48,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,69,False
2018-05-27,94,False
2018-06-03,95,False
2018-06-10,45,False
2018-06-17,0,False
2018-06-24,48,False
2018-07-01,48,False
2018-07-08,47,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,45,False
2018-08-12,0,False
2018-08-19,46,False
2018-08-26,46,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,46,False
2018-09-23,46,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,45,False
2018-10-28,45,False
2018-11-04,43,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,46,False
2018-12-23,0,False
2018-12-30,45,False
2019-01-06,0,False
2019-01-13,42,False
2019-01-20,41,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,43,False
2019-02-24,0,False
2019-03-03,65,False
2019-03-10,42,False
2019-03-17,0,False
2019-03-24,44,False
2019-03-31,67,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,88,False
2019-05-05,42,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,43,False
2019-06-09,58,False
2019-06-16,44,False
2019-06-23,0,False
2019-06-30,45,False
2019-07-07,67,False
2019-07-14,45,False
2019-07-21,48,False
2019-07-28,47,False
2019-08-04,90,False
2019-08-11,42,False
2019-08-18,0,False
2019-08-25,43,False
2019-09-01,43,False
2019-09-08,43,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,58,False
2019-10-06,42,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,40,False
2019-11-03,79,False
2019-11-10,60,False
2019-11-17,40,False
2019-11-24,0,False
2019-12-01,81,False
2019-12-08,61,False
2019-12-15,41,False
2019-12-22,44,False
2019-12-29,42,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,77,False
2020-01-26,38,False
2020-02-02,37,False
2020-02-09,37,False
2020-02-16,39,False
2020-02-23,37,False
2020-03-01,37,False
2020-03-08,34,False
2020-03-15,33,False
2020-03-22,32,False
2020-03-29,0,False
2020-04-05,36,False
2020-04-12,34,False
2020-04-19,33,False
2020-04-26,32,False
2020-05-03,33,False
2020-05-10,100,False
2020-05-17,0,True
