date,sala ricevimenti,isPartial
2018-01-07,0,False
2018-01-14,23,False
2018-01-21,47,False
2018-01-28,23,False
2018-02-04,56,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,0,False
2018-03-04,22,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,60,False
2018-04-01,26,False
2018-04-08,36,False
2018-04-15,71,False
2018-04-22,24,False
2018-04-29,62,False
2018-05-06,23,False
2018-05-13,59,False
2018-05-20,0,False
2018-05-27,63,False
2018-06-03,49,False
2018-06-10,0,False
2018-06-17,46,False
2018-06-24,23,False
2018-07-01,72,False
2018-07-08,89,False
2018-07-15,23,False
2018-07-22,54,False
2018-07-29,21,False
2018-08-05,30,False
2018-08-12,41,False
2018-08-19,33,False
2018-08-26,29,False
2018-09-02,81,False
2018-09-09,25,False
2018-09-16,50,False
2018-09-23,48,False
2018-09-30,70,False
2018-10-07,63,False
2018-10-14,24,False
2018-10-21,96,False
2018-10-28,35,False
2018-11-04,36,False
2018-11-11,50,False
2018-11-18,61,False
2018-11-25,0,False
2018-12-02,26,False
2018-12-09,75,False
2018-12-16,26,False
2018-12-23,27,False
2018-12-30,25,False
2019-01-06,24,False
2019-01-13,49,False
2019-01-20,46,False
2019-01-27,57,False
2019-02-03,46,False
2019-02-10,35,False
2019-02-17,0,False
2019-02-24,24,False
2019-03-03,50,False
2019-03-10,24,False
2019-03-17,49,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,38,False
2019-04-21,25,False
2019-04-28,0,False
2019-05-05,72,False
2019-05-12,24,False
2019-05-19,36,False
2019-05-26,56,False
2019-06-02,37,False
2019-06-09,64,False
2019-06-16,25,False
2019-06-23,48,False
2019-06-30,100,False
2019-07-07,24,False
2019-07-14,23,False
2019-07-21,35,False
2019-07-28,55,False
2019-08-04,61,False
2019-08-11,20,False
2019-08-18,57,False
2019-08-25,48,False
2019-09-01,54,False
2019-09-08,37,False
2019-09-15,74,False
2019-09-22,24,False
2019-09-29,73,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,49,False
2019-10-27,0,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,22,False
2020-01-26,33,False
2020-02-02,33,False
2020-02-09,45,False
2020-02-16,22,False
2020-02-23,31,False
2020-03-01,21,False
2020-03-08,19,False
2020-03-15,18,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,18,False
2020-04-26,31,True
