date,naturopathe,isPartial
2018-01-07,28,False
2018-01-14,41,False
2018-01-21,28,False
2018-01-28,38,False
2018-02-04,55,False
2018-02-11,28,False
2018-02-18,38,False
2018-02-25,0,False
2018-03-04,28,False
2018-03-11,28,False
2018-03-18,29,False
2018-03-25,29,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,30,False
2018-04-29,31,False
2018-05-06,46,False
2018-05-13,59,False
2018-05-20,91,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,43,False
2018-06-17,30,False
2018-06-24,89,False
2018-07-01,58,False
2018-07-08,30,False
2018-07-15,0,False
2018-07-22,32,False
2018-07-29,32,False
2018-08-05,34,False
2018-08-12,34,False
2018-08-19,67,False
2018-08-26,31,False
2018-09-02,31,False
2018-09-09,0,False
2018-09-16,45,False
2018-09-23,30,False
2018-09-30,46,False
2018-10-07,31,False
2018-10-14,31,False
2018-10-21,46,False
2018-10-28,29,False
2018-11-04,0,False
2018-11-11,59,False
2018-11-18,29,False
2018-11-25,86,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,32,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,29,False
2019-01-20,28,False
2019-01-27,56,False
2019-02-03,29,False
2019-02-10,30,False
2019-02-17,31,False
2019-02-24,49,False
2019-03-03,56,False
2019-03-10,29,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,44,False
2019-04-07,30,False
2019-04-14,31,False
2019-04-21,43,False
2019-04-28,28,False
2019-05-05,47,False
2019-05-12,40,False
2019-05-19,29,False
2019-05-26,29,False
2019-06-02,55,False
2019-06-09,28,False
2019-06-16,45,False
2019-06-23,29,False
2019-06-30,0,False
2019-07-07,29,False
2019-07-14,0,False
2019-07-21,31,False
2019-07-28,32,False
2019-08-04,33,False
2019-08-11,43,False
2019-08-18,31,False
2019-08-25,29,False
2019-09-01,56,False
2019-09-08,38,False
2019-09-15,0,False
2019-09-22,26,False
2019-09-29,0,False
2019-10-06,35,False
2019-10-13,27,False
2019-10-20,0,False
2019-10-27,26,False
2019-11-03,65,False
2019-11-10,26,False
2019-11-17,39,False
2019-11-24,50,False
2019-12-01,25,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,28,False
2019-12-29,55,False
2020-01-05,50,False
2020-01-12,24,False
2020-01-19,38,False
2020-01-26,41,False
2020-02-02,49,False
2020-02-09,25,False
2020-02-16,100,False
2020-02-23,48,False
2020-03-01,24,False
2020-03-08,0,False
2020-03-15,22,False
2020-03-22,52,False
2020-03-29,31,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,33,False
2020-04-26,20,False
2020-05-03,40,False
2020-05-10,43,False
2020-05-17,53,True
