date,Grabsteine Urnengrab,isPartial
2018-01-07,82,False
2018-01-14,65,False
2018-01-21,32,False
2018-01-28,96,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,49,False
2018-03-04,66,False
2018-03-11,33,False
2018-03-18,66,False
2018-03-25,47,False
2018-04-01,35,False
2018-04-08,34,False
2018-04-15,69,False
2018-04-22,67,False
2018-04-29,35,False
2018-05-06,70,False
2018-05-13,66,False
2018-05-20,47,False
2018-05-27,34,False
2018-06-03,33,False
2018-06-10,64,False
2018-06-17,33,False
2018-06-24,0,False
2018-07-01,55,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,51,False
2018-07-29,0,False
2018-08-05,68,False
2018-08-12,35,False
2018-08-19,52,False
2018-08-26,68,False
2018-09-02,50,False
2018-09-09,84,False
2018-09-16,67,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,100,False
2018-10-21,33,False
2018-10-28,32,False
2018-11-04,63,False
2018-11-11,33,False
2018-11-18,42,False
2018-11-25,48,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,33,False
2018-12-23,38,False
2018-12-30,35,False
2019-01-06,31,False
2019-01-13,30,False
2019-01-20,45,False
2019-01-27,61,False
2019-02-03,52,False
2019-02-10,31,False
2019-02-17,63,False
2019-02-24,96,False
2019-03-03,51,False
2019-03-10,41,False
2019-03-17,32,False
2019-03-24,53,False
2019-03-31,32,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,50,False
2019-04-28,52,False
2019-05-05,46,False
2019-05-12,47,False
2019-05-19,62,False
2019-05-26,48,False
2019-06-02,63,False
2019-06-09,0,False
2019-06-16,32,False
2019-06-23,0,False
2019-06-30,32,False
2019-07-07,31,False
2019-07-14,49,False
2019-07-21,57,False
2019-07-28,34,False
2019-08-04,34,False
2019-08-11,64,False
2019-08-18,0,False
2019-08-25,32,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,61,False
2019-09-29,77,False
2019-10-06,30,False
2019-10-13,30,False
2019-10-20,60,False
2019-10-27,60,False
2019-11-03,29,False
2019-11-10,0,False
2019-11-17,44,False
2019-11-24,29,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,34,False
2019-12-29,48,False
2020-01-05,28,False
2020-01-12,95,False
2020-01-19,42,False
2020-01-26,82,False
2020-02-02,28,False
2020-02-09,27,False
2020-02-16,38,False
2020-02-23,0,False
2020-03-01,55,False
2020-03-08,26,False
2020-03-15,75,False
2020-03-22,50,False
2020-03-29,25,False
2020-04-05,28,False
2020-04-12,44,False
2020-04-19,38,False
2020-04-26,58,False
2020-05-03,50,False
2020-05-10,25,False
