date,Metallbauer,isPartial
2018-01-07,0,False
2018-01-14,50,False
2018-01-21,49,False
2018-01-28,25,False
2018-02-04,100,False
2018-02-11,38,False
2018-02-18,51,False
2018-02-25,51,False
2018-03-04,25,False
2018-03-11,50,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,55,False
2018-04-08,27,False
2018-04-15,42,False
2018-04-22,40,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,0,False
2018-05-20,27,False
2018-05-27,81,False
2018-06-03,79,False
2018-06-10,52,False
2018-06-17,27,False
2018-06-24,56,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,27,False
2018-08-19,26,False
2018-08-26,26,False
2018-09-02,76,False
2018-09-09,78,False
2018-09-16,26,False
2018-09-23,27,False
2018-09-30,0,False
2018-10-07,27,False
2018-10-14,26,False
2018-10-21,38,False
2018-10-28,25,False
2018-11-04,62,False
2018-11-11,77,False
2018-11-18,25,False
2018-11-25,27,False
2018-12-02,0,False
2018-12-09,40,False
2018-12-16,27,False
2018-12-23,31,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,37,False
2019-01-27,25,False
2019-02-03,76,False
2019-02-10,75,False
2019-02-17,25,False
2019-02-24,52,False
2019-03-03,25,False
2019-03-10,62,False
2019-03-17,26,False
2019-03-24,26,False
2019-03-31,25,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,0,False
2019-04-28,65,False
2019-05-05,24,False
2019-05-12,51,False
2019-05-19,75,False
2019-05-26,26,False
2019-06-02,50,False
2019-06-09,26,False
2019-06-16,53,False
2019-06-23,79,False
2019-06-30,27,False
2019-07-07,39,False
2019-07-14,27,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,25,False
2019-08-18,51,False
2019-08-25,25,False
2019-09-01,50,False
2019-09-08,63,False
2019-09-15,26,False
2019-09-22,50,False
2019-09-29,26,False
2019-10-06,50,False
2019-10-13,36,False
2019-10-20,36,False
2019-10-27,35,False
2019-11-03,24,False
2019-11-10,58,False
2019-11-17,48,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,47,False
2019-12-15,48,False
2019-12-22,0,False
2019-12-29,27,False
2020-01-05,24,False
2020-01-12,67,False
2020-01-19,0,False
2020-01-26,67,False
2020-02-02,23,False
2020-02-09,44,False
2020-02-16,46,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,32,False
2020-03-15,21,False
2020-03-22,0,False
2020-03-29,32,False
2020-04-05,46,False
2020-04-12,44,False
2020-04-19,21,False
2020-04-26,32,False
2020-05-03,64,False
2020-05-10,32,False
