date,Metallbauer,isPartial
2018-01-07,28,False
2018-01-14,41,False
2018-01-21,55,False
2018-01-28,57,False
2018-02-04,58,False
2018-02-11,29,False
2018-02-18,29,False
2018-02-25,67,False
2018-03-04,38,False
2018-03-11,56,False
2018-03-18,59,False
2018-03-25,31,False
2018-04-01,47,False
2018-04-08,40,False
2018-04-15,80,False
2018-04-22,87,False
2018-04-29,31,False
2018-05-06,76,False
2018-05-13,44,False
2018-05-20,48,False
2018-05-27,53,False
2018-06-03,30,False
2018-06-10,29,False
2018-06-17,68,False
2018-06-24,29,False
2018-07-01,57,False
2018-07-08,29,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,31,False
2018-08-05,32,False
2018-08-12,48,False
2018-08-19,98,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,40,False
2018-09-16,39,False
2018-09-23,74,False
2018-09-30,49,False
2018-10-07,29,False
2018-10-14,57,False
2018-10-21,56,False
2018-10-28,100,False
2018-11-04,83,False
2018-11-11,70,False
2018-11-18,54,False
2018-11-25,27,False
2018-12-02,37,False
2018-12-09,41,False
2018-12-16,43,False
2018-12-23,33,False
2018-12-30,60,False
2019-01-06,35,False
2019-01-13,26,False
2019-01-20,52,False
2019-01-27,39,False
2019-02-03,35,False
2019-02-10,40,False
2019-02-17,63,False
2019-02-24,55,False
2019-03-03,28,False
2019-03-10,53,False
2019-03-17,55,False
2019-03-24,27,False
2019-03-31,36,False
2019-04-07,94,False
2019-04-14,59,False
2019-04-21,86,False
2019-04-28,37,False
2019-05-05,26,False
2019-05-12,45,False
2019-05-19,44,False
2019-05-26,64,False
2019-06-02,46,False
2019-06-09,38,False
2019-06-16,38,False
2019-06-23,73,False
2019-06-30,36,False
2019-07-07,44,False
2019-07-14,46,False
2019-07-21,38,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,44,False
2019-08-18,40,False
2019-08-25,50,False
2019-09-01,75,False
2019-09-08,28,False
2019-09-15,41,False
2019-09-22,40,False
2019-09-29,0,False
2019-10-06,26,False
2019-10-13,64,False
2019-10-20,77,False
2019-10-27,52,False
2019-11-03,87,False
2019-11-10,25,False
2019-11-17,38,False
2019-11-24,50,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,39,False
2019-12-22,60,False
2019-12-29,28,False
2020-01-05,37,False
2020-01-12,47,False
2020-01-19,48,False
2020-01-26,71,False
2020-02-02,72,False
2020-02-09,48,False
2020-02-16,50,False
2020-02-23,56,False
2020-03-01,23,False
2020-03-08,37,False
2020-03-15,29,False
2020-03-22,42,False
2020-03-29,43,False
2020-04-05,59,False
2020-04-12,0,False
2020-04-19,65,False
2020-04-26,21,False
2020-05-03,54,False
2020-05-10,64,False
