date,Metallbauer,isPartial
2018-01-07,39,False
2018-01-14,39,False
2018-01-21,29,False
2018-01-28,20,False
2018-02-04,20,False
2018-02-11,20,False
2018-02-18,20,False
2018-02-25,29,False
2018-03-04,38,False
2018-03-11,57,False
2018-03-18,20,False
2018-03-25,20,False
2018-04-01,22,False
2018-04-08,31,False
2018-04-15,21,False
2018-04-22,21,False
2018-04-29,51,False
2018-05-06,32,False
2018-05-13,40,False
2018-05-20,21,False
2018-05-27,100,False
2018-06-03,40,False
2018-06-10,58,False
2018-06-17,50,False
2018-06-24,20,False
2018-07-01,71,False
2018-07-08,65,False
2018-07-15,67,False
2018-07-22,0,False
2018-07-29,36,False
2018-08-05,44,False
2018-08-12,31,False
2018-08-19,92,False
2018-08-26,40,False
2018-09-02,72,False
2018-09-09,20,False
2018-09-16,60,False
2018-09-23,41,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,64,False
2018-10-21,51,False
2018-10-28,20,False
2018-11-04,39,False
2018-11-11,20,False
2018-11-18,29,False
2018-11-25,47,False
2018-12-02,0,False
2018-12-09,40,False
2018-12-16,21,False
2018-12-23,25,False
2018-12-30,34,False
2019-01-06,47,False
2019-01-13,19,False
2019-01-20,28,False
2019-01-27,19,False
2019-02-03,39,False
2019-02-10,39,False
2019-02-17,20,False
2019-02-24,39,False
2019-03-03,92,False
2019-03-10,38,False
2019-03-17,29,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,18,False
2019-04-14,43,False
2019-04-21,64,False
2019-04-28,56,False
2019-05-05,28,False
2019-05-12,19,False
2019-05-19,19,False
2019-05-26,51,False
2019-06-02,19,False
2019-06-09,57,False
2019-06-16,29,False
2019-06-23,62,False
2019-06-30,60,False
2019-07-07,41,False
2019-07-14,22,False
2019-07-21,24,False
2019-07-28,24,False
2019-08-04,33,False
2019-08-11,40,False
2019-08-18,39,False
2019-08-25,19,False
2019-09-01,28,False
2019-09-08,68,False
2019-09-15,19,False
2019-09-22,38,False
2019-09-29,48,False
2019-10-06,19,False
2019-10-13,48,False
2019-10-20,56,False
2019-10-27,46,False
2019-11-03,27,False
2019-11-10,36,False
2019-11-17,36,False
2019-11-24,36,False
2019-12-01,55,False
2019-12-08,72,False
2019-12-15,37,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,35,False
2020-01-12,69,False
2020-01-19,18,False
2020-01-26,35,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,50,False
2020-03-01,17,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,32,False
2020-04-05,35,False
2020-04-12,34,False
2020-04-19,40,False
2020-04-26,46,False
2020-05-03,16,False
2020-05-10,16,False
2020-05-17,18,False
2020-05-24,59,False
2020-05-31,25,False
2020-06-07,40,False
2020-06-14,57,False
2020-06-21,53,False
2020-06-28,77,False
2020-07-05,18,False
