date,desatascar fregadero,isPartial
2018-01-07,0,False
2018-01-14,37,False
2018-01-21,36,False
2018-01-28,73,False
2018-02-04,72,False
2018-02-11,0,False
2018-02-18,38,False
2018-02-25,73,False
2018-03-04,71,False
2018-03-11,0,False
2018-03-18,38,False
2018-03-25,97,False
2018-04-01,74,False
2018-04-08,35,False
2018-04-15,36,False
2018-04-22,36,False
2018-04-29,55,False
2018-05-06,36,False
2018-05-13,38,False
2018-05-20,36,False
2018-05-27,71,False
2018-06-03,36,False
2018-06-10,36,False
2018-06-17,39,False
2018-06-24,52,False
2018-07-01,40,False
2018-07-08,41,False
2018-07-15,43,False
2018-07-22,0,False
2018-07-29,46,False
2018-08-05,100,False
2018-08-12,54,False
2018-08-19,50,False
2018-08-26,58,False
2018-09-02,78,False
2018-09-09,56,False
2018-09-16,54,False
2018-09-23,89,False
2018-09-30,53,False
2018-10-07,56,False
2018-10-14,35,False
2018-10-21,53,False
2018-10-28,37,False
2018-11-04,43,False
2018-11-11,66,False
2018-11-18,0,False
2018-11-25,32,False
2018-12-02,35,False
2018-12-09,0,False
2018-12-16,36,False
2018-12-23,44,False
2018-12-30,58,False
2019-01-06,55,False
2019-01-13,0,False
2019-01-20,49,False
2019-01-27,30,False
2019-02-03,52,False
2019-02-10,69,False
2019-02-17,35,False
2019-02-24,31,False
2019-03-03,53,False
2019-03-10,0,False
2019-03-17,36,False
2019-03-24,36,False
2019-03-31,0,False
2019-04-07,92,False
2019-04-14,44,False
2019-04-21,70,False
2019-04-28,0,False
2019-05-05,31,False
2019-05-12,35,False
2019-05-19,34,False
2019-05-26,33,False
2019-06-02,0,False
2019-06-09,33,False
2019-06-16,35,False
2019-06-23,36,False
2019-06-30,38,False
2019-07-07,35,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,73,False
2019-08-11,52,False
2019-08-18,48,False
2019-08-25,42,False
2019-09-01,34,False
2019-09-08,68,False
2019-09-15,80,False
2019-09-22,33,False
2019-09-29,33,False
2019-10-06,43,False
2019-10-13,31,False
2019-10-20,32,False
2019-10-27,49,False
2019-11-03,42,False
2019-11-10,41,False
2019-11-17,31,False
2019-11-24,59,False
2019-12-01,99,False
2019-12-08,33,False
2019-12-15,32,False
2019-12-22,38,False
2019-12-29,38,False
2020-01-05,32,False
2020-01-12,29,False
2020-01-19,45,False
2020-01-26,45,False
2020-02-02,60,False
2020-02-09,45,False
2020-02-16,31,False
2020-02-23,40,False
2020-03-01,39,False
2020-03-08,58,False
2020-03-15,45,False
2020-03-22,58,False
2020-03-29,58,False
2020-04-05,61,False
2020-04-12,43,False
2020-04-19,47,False
2020-04-26,57,False
2020-05-03,37,False
2020-05-10,28,False
2020-05-17,65,True
