date,desatascar fregadero,isPartial
2018-01-07,47,False
2018-01-14,47,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,31,False
2018-03-11,31,False
2018-03-18,0,False
2018-03-25,34,False
2018-04-01,0,False
2018-04-08,29,False
2018-04-15,62,False
2018-04-22,61,False
2018-04-29,30,False
2018-05-06,48,False
2018-05-13,31,False
2018-05-20,63,False
2018-05-27,91,False
2018-06-03,59,False
2018-06-10,43,False
2018-06-17,32,False
2018-06-24,47,False
2018-07-01,47,False
2018-07-08,31,False
2018-07-15,63,False
2018-07-22,64,False
2018-07-29,66,False
2018-08-05,33,False
2018-08-12,0,False
2018-08-19,51,False
2018-08-26,32,False
2018-09-02,31,False
2018-09-09,63,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,60,False
2018-10-21,61,False
2018-10-28,42,False
2018-11-04,45,False
2018-11-11,0,False
2018-11-18,49,False
2018-11-25,46,False
2018-12-02,32,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,63,False
2018-12-30,35,False
2019-01-06,63,False
2019-01-13,30,False
2019-01-20,43,False
2019-01-27,30,False
2019-02-03,46,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,61,False
2019-03-03,60,False
2019-03-10,61,False
2019-03-17,30,False
2019-03-24,31,False
2019-03-31,0,False
2019-04-07,50,False
2019-04-14,32,False
2019-04-21,45,False
2019-04-28,48,False
2019-05-05,29,False
2019-05-12,29,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,43,False
2019-06-09,29,False
2019-06-16,45,False
2019-06-23,31,False
2019-06-30,30,False
2019-07-07,57,False
2019-07-14,30,False
2019-07-21,0,False
2019-07-28,64,False
2019-08-04,33,False
2019-08-11,100,False
2019-08-18,0,False
2019-08-25,46,False
2019-09-01,29,False
2019-09-08,29,False
2019-09-15,28,False
2019-09-22,0,False
2019-09-29,37,False
2019-10-06,54,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,27,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,56,False
2019-12-08,0,False
2019-12-15,47,False
2019-12-22,33,False
2019-12-29,51,False
2020-01-05,56,False
2020-01-12,52,False
2020-01-19,34,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,40,False
2020-02-16,54,False
2020-02-23,0,False
2020-03-01,51,False
2020-03-08,25,False
2020-03-15,52,False
2020-03-22,36,False
2020-03-29,32,False
2020-04-05,65,False
2020-04-12,48,False
2020-04-19,35,False
2020-04-26,36,False
2020-05-03,24,False
2020-05-10,0,False
2020-05-17,56,True
