date,Solarpanel,isPartial
2018-01-07,15,False
2018-01-14,30,False
2018-01-21,15,False
2018-01-28,15,False
2018-02-04,0,False
2018-02-11,45,False
2018-02-18,15,False
2018-02-25,15,False
2018-03-04,15,False
2018-03-11,30,False
2018-03-18,15,False
2018-03-25,0,False
2018-04-01,50,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,16,False
2018-04-29,49,False
2018-05-06,0,False
2018-05-13,31,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,30,False
2018-06-17,15,False
2018-06-24,15,False
2018-07-01,47,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,16,False
2018-07-29,16,False
2018-08-05,48,False
2018-08-12,17,False
2018-08-19,32,False
2018-08-26,15,False
2018-09-02,15,False
2018-09-09,16,False
2018-09-16,31,False
2018-09-23,0,False
2018-09-30,15,False
2018-10-07,63,False
2018-10-14,16,False
2018-10-21,32,False
2018-10-28,16,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,30,False
2018-11-25,15,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,16,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,14,False
2019-01-27,42,False
2019-02-03,44,False
2019-02-10,0,False
2019-02-17,29,False
2019-02-24,57,False
2019-03-03,0,False
2019-03-10,56,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,15,False
2019-04-07,44,False
2019-04-14,16,False
2019-04-21,16,False
2019-04-28,59,False
2019-05-05,28,False
2019-05-12,29,False
2019-05-19,14,False
2019-05-26,14,False
2019-06-02,45,False
2019-06-09,15,False
2019-06-16,30,False
2019-06-23,61,False
2019-06-30,15,False
2019-07-07,29,False
2019-07-14,31,False
2019-07-21,64,False
2019-07-28,77,False
2019-08-04,32,False
2019-08-11,31,False
2019-08-18,44,False
2019-08-25,44,False
2019-09-01,14,False
2019-09-08,15,False
2019-09-15,29,False
2019-09-22,72,False
2019-09-29,14,False
2019-10-06,42,False
2019-10-13,0,False
2019-10-20,56,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,40,False
2019-12-01,42,False
2019-12-08,14,False
2019-12-15,14,False
2019-12-22,0,False
2019-12-29,14,False
2020-01-05,26,False
2020-01-12,37,False
2020-01-19,13,False
2020-01-26,13,False
2020-02-02,25,False
2020-02-09,13,False
2020-02-16,25,False
2020-02-23,0,False
2020-03-01,12,False
2020-03-08,24,False
2020-03-15,36,False
2020-03-22,12,False
2020-03-29,35,False
2020-04-05,26,False
2020-04-12,100,False
2020-04-19,24,False
2020-04-26,24,False
2020-05-03,13,False
2020-05-10,12,False
2020-05-17,26,False
2020-05-24,74,False
2020-05-31,25,False
2020-06-07,50,False
2020-06-14,48,False
2020-06-21,25,False
2020-06-28,38,False
2020-07-05,53,False
