date,Flachdach,isPartial
2018-01-07,26,False
2018-01-14,52,False
2018-01-21,52,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,27,False
2018-02-18,53,False
2018-02-25,52,False
2018-03-04,0,False
2018-03-11,40,False
2018-03-18,27,False
2018-03-25,43,False
2018-04-01,43,False
2018-04-08,0,False
2018-04-15,29,False
2018-04-22,41,False
2018-04-29,28,False
2018-05-06,0,False
2018-05-13,54,False
2018-05-20,41,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,0,False
2018-06-17,36,False
2018-06-24,28,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,54,False
2018-08-05,27,False
2018-08-12,28,False
2018-08-19,41,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,28,False
2018-09-16,27,False
2018-09-23,28,False
2018-09-30,58,False
2018-10-07,38,False
2018-10-14,27,False
2018-10-21,0,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,26,False
2018-11-18,38,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,29,False
2018-12-30,54,False
2019-01-06,25,False
2019-01-13,0,False
2019-01-20,24,False
2019-01-27,25,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,52,False
2019-02-24,54,False
2019-03-03,25,False
2019-03-10,100,False
2019-03-17,53,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,25,False
2019-04-14,54,False
2019-04-21,52,False
2019-04-28,43,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,34,False
2019-05-26,0,False
2019-06-02,25,False
2019-06-09,51,False
2019-06-16,44,False
2019-06-23,26,False
2019-06-30,44,False
2019-07-07,26,False
2019-07-14,44,False
2019-07-21,42,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,25,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,25,False
2019-09-08,26,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,49,False
2019-10-20,40,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,24,False
2019-12-08,46,False
2019-12-15,24,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,43,False
2020-01-19,22,False
2020-01-26,22,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,46,False
2020-02-23,21,False
2020-03-01,42,False
2020-03-08,20,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,25,False
2020-04-05,0,False
2020-04-12,40,False
2020-04-19,20,False
2020-04-26,44,False
2020-05-03,29,False
2020-05-10,30,False
