date,piante da interno,isPartial
2018-01-07,35,False
2018-01-14,51,False
2018-01-21,34,False
2018-01-28,49,False
2018-02-04,0,False
2018-02-11,33,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,33,False
2018-03-25,34,False
2018-04-01,70,False
2018-04-08,33,False
2018-04-15,0,False
2018-04-22,70,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,33,False
2018-05-20,0,False
2018-05-27,33,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,33,False
2018-06-24,66,False
2018-07-01,0,False
2018-07-08,32,False
2018-07-15,33,False
2018-07-22,32,False
2018-07-29,0,False
2018-08-05,34,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,33,False
2018-09-02,32,False
2018-09-09,65,False
2018-09-16,48,False
2018-09-23,32,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,32,False
2018-11-04,33,False
2018-11-11,34,False
2018-11-18,33,False
2018-11-25,0,False
2018-12-02,34,False
2018-12-09,69,False
2018-12-16,0,False
2018-12-23,41,False
2018-12-30,75,False
2019-01-06,35,False
2019-01-13,100,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,33,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,67,False
2019-03-10,33,False
2019-03-17,50,False
2019-03-24,34,False
2019-03-31,0,False
2019-04-07,67,False
2019-04-14,34,False
2019-04-21,33,False
2019-04-28,48,False
2019-05-05,32,False
2019-05-12,32,False
2019-05-19,31,False
2019-05-26,30,False
2019-06-02,0,False
2019-06-09,32,False
2019-06-16,34,False
2019-06-23,34,False
2019-06-30,0,False
2019-07-07,64,False
2019-07-14,33,False
2019-07-21,50,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,50,False
2019-08-25,31,False
2019-09-01,45,False
2019-09-08,0,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,93,False
2019-10-13,31,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,29,False
2019-11-24,30,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,31,False
2019-12-22,38,False
2019-12-29,0,False
2020-01-05,31,False
2020-01-12,29,False
2020-01-19,30,False
2020-01-26,0,False
2020-02-02,28,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,80,False
2020-03-01,41,False
2020-03-08,0,False
2020-03-15,39,False
2020-03-22,36,False
2020-03-29,37,False
2020-04-05,25,False
2020-04-12,0,False
2020-04-19,49,False
2020-04-26,0,True
