date,piante da interno,isPartial
2018-01-07,23,False
2018-01-14,0,False
2018-01-21,22,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,57,False
2018-03-25,46,False
2018-04-01,49,False
2018-04-08,45,False
2018-04-15,35,False
2018-04-22,0,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,23,False
2018-05-20,46,False
2018-05-27,23,False
2018-06-03,0,False
2018-06-10,22,False
2018-06-17,23,False
2018-06-24,23,False
2018-07-01,89,False
2018-07-08,0,False
2018-07-15,23,False
2018-07-22,0,False
2018-07-29,24,False
2018-08-05,0,False
2018-08-12,27,False
2018-08-19,25,False
2018-08-26,34,False
2018-09-02,33,False
2018-09-09,33,False
2018-09-16,0,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,23,False
2018-10-28,33,False
2018-11-04,21,False
2018-11-11,0,False
2018-11-18,43,False
2018-11-25,33,False
2018-12-02,46,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,47,False
2019-01-13,22,False
2019-01-20,44,False
2019-01-27,44,False
2019-02-03,33,False
2019-02-10,44,False
2019-02-17,0,False
2019-02-24,34,False
2019-03-03,23,False
2019-03-10,91,False
2019-03-17,22,False
2019-03-24,23,False
2019-03-31,45,False
2019-04-07,45,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,23,False
2019-05-05,67,False
2019-05-12,21,False
2019-05-19,21,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,23,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,43,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,36,False
2019-08-11,39,False
2019-08-18,23,False
2019-08-25,21,False
2019-09-01,39,False
2019-09-08,31,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,52,False
2019-10-06,64,False
2019-10-13,42,False
2019-10-20,20,False
2019-10-27,31,False
2019-11-03,60,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,20,False
2019-12-01,41,False
2019-12-08,21,False
2019-12-15,21,False
2019-12-22,25,False
2019-12-29,36,False
2020-01-05,31,False
2020-01-12,47,False
2020-01-19,66,False
2020-01-26,19,False
2020-02-02,37,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,53,False
2020-03-01,62,False
2020-03-08,34,False
2020-03-15,35,False
2020-03-22,40,False
2020-03-29,25,False
2020-04-05,18,False
2020-04-12,44,False
2020-04-19,100,False
2020-04-26,43,True
