date,piante da interno,isPartial
2018-01-07,26,False
2018-01-14,18,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,16,False
2018-02-18,31,False
2018-02-25,30,False
2018-03-04,15,False
2018-03-11,15,False
2018-03-18,47,False
2018-03-25,100,False
2018-04-01,17,False
2018-04-08,62,False
2018-04-15,16,False
2018-04-22,42,False
2018-04-29,32,False
2018-05-06,15,False
2018-05-13,23,False
2018-05-20,39,False
2018-05-27,16,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,38,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,17,False
2018-07-29,17,False
2018-08-05,18,False
2018-08-12,42,False
2018-08-19,87,False
2018-08-26,56,False
2018-09-02,16,False
2018-09-09,31,False
2018-09-16,15,False
2018-09-23,23,False
2018-09-30,31,False
2018-10-07,39,False
2018-10-14,55,False
2018-10-21,23,False
2018-10-28,61,False
2018-11-04,36,False
2018-11-11,30,False
2018-11-18,38,False
2018-11-25,16,False
2018-12-02,28,False
2018-12-09,32,False
2018-12-16,34,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,44,False
2019-01-13,25,False
2019-01-20,24,False
2019-01-27,29,False
2019-02-03,42,False
2019-02-10,17,False
2019-02-17,25,False
2019-02-24,30,False
2019-03-03,62,False
2019-03-10,35,False
2019-03-17,72,False
2019-03-24,17,False
2019-03-31,43,False
2019-04-07,32,False
2019-04-14,51,False
2019-04-21,39,False
2019-04-28,34,False
2019-05-05,38,False
2019-05-12,74,False
2019-05-19,17,False
2019-05-26,24,False
2019-06-02,51,False
2019-06-09,17,False
2019-06-16,18,False
2019-06-23,36,False
2019-06-30,18,False
2019-07-07,33,False
2019-07-14,46,False
2019-07-21,36,False
2019-07-28,78,False
2019-08-04,52,False
2019-08-11,56,False
2019-08-18,53,False
2019-08-25,65,False
2019-09-01,24,False
2019-09-08,25,False
2019-09-15,40,False
2019-09-22,57,False
2019-09-29,57,False
2019-10-06,25,False
2019-10-13,50,False
2019-10-20,49,False
2019-10-27,33,False
2019-11-03,32,False
2019-11-10,0,False
2019-11-17,24,False
2019-11-24,32,False
2019-12-01,25,False
2019-12-08,0,False
2019-12-15,50,False
2019-12-22,62,False
2019-12-29,19,False
2020-01-05,16,False
2020-01-12,69,False
2020-01-19,24,False
2020-01-26,23,False
2020-02-02,15,False
2020-02-09,31,False
2020-02-16,31,False
2020-02-23,60,False
2020-03-01,30,False
2020-03-08,22,False
2020-03-15,52,False
2020-03-22,14,False
2020-03-29,43,False
2020-04-05,52,False
2020-04-12,53,False
2020-04-19,28,False
2020-04-26,62,True
