date,Hochzeitsplaner,isPartial
2018-01-07,59,False
2018-01-14,51,False
2018-01-21,52,False
2018-01-28,44,False
2018-02-04,30,False
2018-02-11,45,False
2018-02-18,45,False
2018-02-25,44,False
2018-03-04,0,False
2018-03-11,37,False
2018-03-18,45,False
2018-03-25,40,False
2018-04-01,16,False
2018-04-08,45,False
2018-04-15,31,False
2018-04-22,37,False
2018-04-29,23,False
2018-05-06,39,False
2018-05-13,44,False
2018-05-20,39,False
2018-05-27,22,False
2018-06-03,22,False
2018-06-10,36,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,29,False
2018-07-08,43,False
2018-07-15,38,False
2018-07-22,16,False
2018-07-29,32,False
2018-08-05,39,False
2018-08-12,16,False
2018-08-19,15,False
2018-08-26,53,False
2018-09-02,15,False
2018-09-09,15,False
2018-09-16,22,False
2018-09-23,23,False
2018-09-30,38,False
2018-10-07,30,False
2018-10-14,61,False
2018-10-21,60,False
2018-10-28,22,False
2018-11-04,21,False
2018-11-11,22,False
2018-11-18,42,False
2018-11-25,22,False
2018-12-02,28,False
2018-12-09,65,False
2018-12-16,22,False
2018-12-23,50,False
2018-12-30,100,False
2019-01-06,41,False
2019-01-13,27,False
2019-01-20,34,False
2019-01-27,68,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,14,False
2019-02-24,29,False
2019-03-03,42,False
2019-03-10,14,False
2019-03-17,36,False
2019-03-24,29,False
2019-03-31,21,False
2019-04-07,29,False
2019-04-14,31,False
2019-04-21,38,False
2019-04-28,36,False
2019-05-05,42,False
2019-05-12,43,False
2019-05-19,56,False
2019-05-26,22,False
2019-06-02,21,False
2019-06-09,29,False
2019-06-16,65,False
2019-06-23,14,False
2019-06-30,28,False
2019-07-07,35,False
2019-07-14,67,False
2019-07-21,16,False
2019-07-28,0,False
2019-08-04,39,False
2019-08-11,68,False
2019-08-18,37,False
2019-08-25,21,False
2019-09-01,28,False
2019-09-08,21,False
2019-09-15,36,False
2019-09-22,28,False
2019-09-29,14,False
2019-10-06,27,False
2019-10-13,14,False
2019-10-20,0,False
2019-10-27,27,False
2019-11-03,39,False
2019-11-10,13,False
2019-11-17,26,False
2019-11-24,44,False
2019-12-01,39,False
2019-12-08,39,False
2019-12-15,20,False
2019-12-22,38,False
2019-12-29,51,False
2020-01-05,32,False
2020-01-12,24,False
2020-01-19,25,False
2020-01-26,0,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,38,False
2020-02-23,30,False
2020-03-01,18,False
2020-03-08,29,False
2020-03-15,17,False
2020-03-22,23,False
2020-03-29,17,False
2020-04-05,12,False
2020-04-12,45,True
