date,Hochzeitsplaner,isPartial
2018-01-07,0,False
2018-01-14,52,False
2018-01-21,51,False
2018-01-28,25,False
2018-02-04,0,False
2018-02-11,26,False
2018-02-18,0,False
2018-02-25,26,False
2018-03-04,25,False
2018-03-11,25,False
2018-03-18,25,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,27,False
2018-04-22,27,False
2018-04-29,27,False
2018-05-06,28,False
2018-05-13,0,False
2018-05-20,43,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,0,False
2018-07-08,28,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,30,False
2018-08-12,30,False
2018-08-19,56,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,62,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,27,False
2018-11-04,50,False
2018-11-11,26,False
2018-11-18,26,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,36,False
2018-12-30,30,False
2019-01-06,24,False
2019-01-13,33,False
2019-01-20,70,False
2019-01-27,60,False
2019-02-03,26,False
2019-02-10,0,False
2019-02-17,26,False
2019-02-24,0,False
2019-03-03,42,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,0,False
2019-03-31,26,False
2019-04-07,0,False
2019-04-14,29,False
2019-04-21,58,False
2019-04-28,42,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,39,False
2019-06-16,0,False
2019-06-23,55,False
2019-06-30,26,False
2019-07-07,52,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,51,False
2019-08-25,0,False
2019-09-01,48,False
2019-09-08,26,False
2019-09-15,25,False
2019-09-22,100,False
2019-09-29,34,False
2019-10-06,51,False
2019-10-13,25,False
2019-10-20,24,False
2019-10-27,0,False
2019-11-03,21,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,45,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,32,False
2019-12-29,39,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,23,False
2020-02-02,24,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,32,False
2020-03-08,20,False
2020-03-15,22,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,34,False
2020-04-12,0,True
