date,Pflastersteine verlegen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,65,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,68,False
2018-04-15,69,False
2018-04-22,0,False
2018-04-29,51,False
2018-05-06,0,False
2018-05-13,49,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,33,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,69,False
2018-07-01,51,False
2018-07-08,0,False
2018-07-15,35,False
2018-07-22,0,False
2018-07-29,49,False
2018-08-05,0,False
2018-08-12,32,False
2018-08-19,32,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,33,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,35,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,49,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,31,False
2019-03-31,48,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,65,False
2019-04-28,94,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,62,False
2019-06-02,94,False
2019-06-09,63,False
2019-06-16,32,False
2019-06-23,48,False
2019-06-30,32,False
2019-07-07,32,False
2019-07-14,33,False
2019-07-21,34,False
2019-07-28,33,False
2019-08-04,32,False
2019-08-11,60,False
2019-08-18,31,False
2019-08-25,61,False
2019-09-01,0,False
2019-09-08,31,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,29,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,31,False
2019-12-29,30,False
2020-01-05,0,False
2020-01-12,27,False
2020-01-19,0,False
2020-01-26,27,False
2020-02-02,26,False
2020-02-09,26,False
2020-02-16,28,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,46,False
2020-03-29,46,False
2020-04-05,38,False
2020-04-12,24,False
2020-04-19,23,False
2020-04-26,0,False
2020-05-03,35,False
2020-05-10,24,False
