date,fotografia di moda,isPartial
2018-01-07,100,False
2018-01-14,50,False
2018-01-21,49,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,97,False
2018-02-18,47,False
2018-02-25,0,False
2018-03-04,47,False
2018-03-11,96,False
2018-03-18,97,False
2018-03-25,51,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,49,False
2018-05-13,49,False
2018-05-20,49,False
2018-05-27,0,False
2018-06-03,50,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,75,False
2018-07-01,49,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,50,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,96,False
2018-09-09,48,False
2018-09-16,0,False
2018-09-23,48,False
2018-09-30,48,False
2018-10-07,99,False
2018-10-14,50,False
2018-10-21,0,False
2018-10-28,48,False
2018-11-04,0,False
2018-11-11,49,False
2018-11-18,0,False
2018-11-25,49,False
2018-12-02,49,False
2018-12-09,50,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,53,False
2019-01-06,0,False
2019-01-13,48,False
2019-01-20,93,False
2019-01-27,45,False
2019-02-03,0,False
2019-02-10,47,False
2019-02-17,96,False
2019-02-24,0,False
2019-03-03,49,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,49,False
2019-03-31,0,False
2019-04-07,48,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,49,False
2019-05-05,46,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,45,False
2019-06-02,0,False
2019-06-09,48,False
2019-06-16,49,False
2019-06-23,0,False
2019-06-30,50,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,50,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,55,False
2019-08-18,51,False
2019-08-25,0,False
2019-09-01,44,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,90,False
2019-10-06,46,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,89,False
2019-11-03,43,False
2019-11-10,88,False
2019-11-17,44,False
2019-11-24,44,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,46,False
2019-12-22,53,False
2019-12-29,51,False
2020-01-05,45,False
2020-01-12,42,False
2020-01-19,85,False
2020-01-26,0,False
2020-02-02,42,False
2020-02-09,64,False
2020-02-16,43,False
2020-02-23,40,False
2020-03-01,40,False
2020-03-08,58,False
2020-03-15,0,False
2020-03-22,36,False
2020-03-29,37,False
2020-04-05,78,False
2020-04-12,39,False
2020-04-19,0,False
2020-04-26,0,True
