date,psychologue comportementaliste,isPartial
2018-01-07,40,False
2018-01-14,47,False
2018-01-21,48,False
2018-01-28,32,False
2018-02-04,40,False
2018-02-11,36,False
2018-02-18,25,False
2018-02-25,0,False
2018-03-04,25,False
2018-03-11,24,False
2018-03-18,41,False
2018-03-25,25,False
2018-04-01,67,False
2018-04-08,24,False
2018-04-15,0,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,24,False
2018-06-03,49,False
2018-06-10,35,False
2018-06-17,49,False
2018-06-24,41,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,26,False
2018-07-29,53,False
2018-08-05,27,False
2018-08-12,37,False
2018-08-19,27,False
2018-08-26,76,False
2018-09-02,51,False
2018-09-09,58,False
2018-09-16,25,False
2018-09-23,100,False
2018-09-30,58,False
2018-10-07,50,False
2018-10-14,37,False
2018-10-21,38,False
2018-10-28,0,False
2018-11-04,73,False
2018-11-11,24,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,48,False
2018-12-09,49,False
2018-12-16,0,False
2018-12-23,57,False
2018-12-30,26,False
2019-01-06,24,False
2019-01-13,36,False
2019-01-20,0,False
2019-01-27,23,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,50,False
2019-02-24,50,False
2019-03-03,24,False
2019-03-10,36,False
2019-03-17,50,False
2019-03-24,50,False
2019-03-31,24,False
2019-04-07,0,False
2019-04-14,42,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,36,False
2019-05-12,24,False
2019-05-19,60,False
2019-05-26,36,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,36,False
2019-06-23,40,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,25,False
2019-07-21,38,False
2019-07-28,26,False
2019-08-04,52,False
2019-08-11,26,False
2019-08-18,25,False
2019-08-25,24,False
2019-09-01,35,False
2019-09-08,23,False
2019-09-15,54,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,34,False
2019-10-13,45,False
2019-10-20,34,False
2019-10-27,22,False
2019-11-03,36,False
2019-11-10,22,False
2019-11-17,65,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,54,False
2019-12-15,0,False
2019-12-22,49,False
2019-12-29,47,False
2020-01-05,21,False
2020-01-12,0,False
2020-01-19,43,False
2020-01-26,49,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,28,False
2020-02-23,21,False
2020-03-01,20,False
2020-03-08,30,False
2020-03-15,0,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,19,False
2020-04-12,0,False
2020-04-19,28,False
2020-04-26,18,False
2020-05-03,18,False
2020-05-10,28,False
2020-05-17,47,True
