date,Fassade ausbessern,isPartial
2018-01-07,32,False
2018-01-14,62,False
2018-01-21,0,False
2018-01-28,42,False
2018-02-04,32,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,47,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,34,False
2018-04-08,33,False
2018-04-15,34,False
2018-04-22,48,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,32,False
2018-05-20,46,False
2018-05-27,0,False
2018-06-03,54,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,0,False
2018-07-22,33,False
2018-07-29,100,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,49,False
2018-09-02,32,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,49,False
2018-09-30,48,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,63,False
2018-10-28,31,False
2018-11-04,46,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,33,False
2019-01-06,30,False
2019-01-13,29,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,30,False
2019-02-17,45,False
2019-02-24,62,False
2019-03-03,0,False
2019-03-10,45,False
2019-03-17,46,False
2019-03-24,31,False
2019-03-31,31,False
2019-04-07,60,False
2019-04-14,33,False
2019-04-21,32,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,46,False
2019-05-19,30,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,0,False
2019-06-30,31,False
2019-07-07,45,False
2019-07-14,31,False
2019-07-21,33,False
2019-07-28,64,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,94,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,31,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,44,False
2019-10-20,29,False
2019-10-27,0,False
2019-11-03,28,False
2019-11-10,57,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,57,False
2019-12-22,0,False
2019-12-29,61,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,27,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,0,False
2020-03-08,50,False
2020-03-15,48,False
2020-03-22,48,False
2020-03-29,24,False
2020-04-05,0,False
2020-04-12,51,False
2020-04-19,49,False
2020-04-26,60,False
2020-05-03,0,False
2020-05-10,25,False
