date,vivaio,isPartial
2018-01-07,13,False
2018-01-14,25,False
2018-01-21,0,False
2018-01-28,38,False
2018-02-04,0,False
2018-02-11,25,False
2018-02-18,12,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,24,False
2018-03-18,38,False
2018-03-25,12,False
2018-04-01,13,False
2018-04-08,12,False
2018-04-15,39,False
2018-04-22,25,False
2018-04-29,35,False
2018-05-06,36,False
2018-05-13,25,False
2018-05-20,61,False
2018-05-27,49,False
2018-06-03,0,False
2018-06-10,34,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,12,False
2018-07-08,11,False
2018-07-15,11,False
2018-07-22,11,False
2018-07-29,0,False
2018-08-05,11,False
2018-08-12,22,False
2018-08-19,23,False
2018-08-26,59,False
2018-09-02,0,False
2018-09-09,36,False
2018-09-16,12,False
2018-09-23,12,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,26,False
2018-10-21,12,False
2018-10-28,12,False
2018-11-04,12,False
2018-11-11,13,False
2018-11-18,50,False
2018-11-25,13,False
2018-12-02,0,False
2018-12-09,13,False
2018-12-16,13,False
2018-12-23,14,False
2018-12-30,0,False
2019-01-06,13,False
2019-01-13,37,False
2019-01-20,0,False
2019-01-27,11,False
2019-02-03,0,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,24,False
2019-03-03,35,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,12,False
2019-03-31,58,False
2019-04-07,59,False
2019-04-14,47,False
2019-04-21,32,False
2019-04-28,56,False
2019-05-05,33,False
2019-05-12,11,False
2019-05-19,34,False
2019-05-26,32,False
2019-06-02,23,False
2019-06-09,55,False
2019-06-16,34,False
2019-06-23,23,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,0,False
2019-07-21,22,False
2019-07-28,22,False
2019-08-04,21,False
2019-08-11,21,False
2019-08-18,10,False
2019-08-25,61,False
2019-09-01,21,False
2019-09-08,33,False
2019-09-15,22,False
2019-09-22,32,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,0,False
2019-10-27,21,False
2019-11-03,10,False
2019-11-10,32,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,21,False
2019-12-08,33,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,12,False
2020-01-05,44,False
2020-01-12,0,False
2020-01-19,22,False
2020-01-26,21,False
2020-02-02,0,False
2020-02-09,43,False
2020-02-16,11,False
2020-02-23,39,False
2020-03-01,10,False
2020-03-08,9,False
2020-03-15,19,False
2020-03-22,27,False
2020-03-29,100,False
2020-04-05,84,False
2020-04-12,94,False
2020-04-19,36,False
2020-04-26,62,True
