date,vivaio,isPartial
2018-01-07,10,False
2018-01-14,9,False
2018-01-21,14,False
2018-01-28,10,False
2018-02-04,15,False
2018-02-11,14,False
2018-02-18,13,False
2018-02-25,10,False
2018-03-04,10,False
2018-03-11,12,False
2018-03-18,18,False
2018-03-25,21,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,28,False
2018-04-22,30,False
2018-04-29,30,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,18,False
2018-05-27,24,False
2018-06-03,18,False
2018-06-10,19,False
2018-06-17,15,False
2018-06-24,16,False
2018-07-01,9,False
2018-07-08,10,False
2018-07-15,13,False
2018-07-22,9,False
2018-07-29,11,False
2018-08-05,11,False
2018-08-12,15,False
2018-08-19,16,False
2018-08-26,12,False
2018-09-02,13,False
2018-09-09,10,False
2018-09-16,13,False
2018-09-23,13,False
2018-09-30,12,False
2018-10-07,13,False
2018-10-14,16,False
2018-10-21,11,False
2018-10-28,13,False
2018-11-04,13,False
2018-11-11,12,False
2018-11-18,8,False
2018-11-25,16,False
2018-12-02,16,False
2018-12-09,11,False
2018-12-16,9,False
2018-12-23,11,False
2018-12-30,7,False
2019-01-06,8,False
2019-01-13,11,False
2019-01-20,9,False
2019-01-27,8,False
2019-02-03,13,False
2019-02-10,13,False
2019-02-17,16,False
2019-02-24,19,False
2019-03-03,28,False
2019-03-10,22,False
2019-03-17,26,False
2019-03-24,27,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,31,False
2019-04-21,26,False
2019-04-28,31,False
2019-05-05,25,False
2019-05-12,19,False
2019-05-19,17,False
2019-05-26,15,False
2019-06-02,17,False
2019-06-09,14,False
2019-06-16,16,False
2019-06-23,12,False
2019-06-30,12,False
2019-07-07,12,False
2019-07-14,13,False
2019-07-21,12,False
2019-07-28,8,False
2019-08-04,15,False
2019-08-11,14,False
2019-08-18,13,False
2019-08-25,15,False
2019-09-01,14,False
2019-09-08,13,False
2019-09-15,18,False
2019-09-22,17,False
2019-09-29,14,False
2019-10-06,13,False
2019-10-13,14,False
2019-10-20,16,False
2019-10-27,15,False
2019-11-03,10,False
2019-11-10,9,False
2019-11-17,12,False
2019-11-24,11,False
2019-12-01,17,False
2019-12-08,16,False
2019-12-15,13,False
2019-12-22,7,False
2019-12-29,6,False
2020-01-05,11,False
2020-01-12,11,False
2020-01-19,11,False
2020-01-26,10,False
2020-02-02,13,False
2020-02-09,18,False
2020-02-16,16,False
2020-02-23,12,False
2020-03-01,23,False
2020-03-08,15,False
2020-03-15,22,False
2020-03-22,18,False
2020-03-29,56,False
2020-04-05,100,False
2020-04-12,92,False
2020-04-19,61,False
2020-04-26,53,True
