date,Altbau,isPartial
2018-01-07,53,False
2018-01-14,27,False
2018-01-21,53,False
2018-01-28,27,False
2018-02-04,54,False
2018-02-11,27,False
2018-02-18,0,False
2018-02-25,56,False
2018-03-04,40,False
2018-03-11,53,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,58,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,32,False
2018-04-29,0,False
2018-05-06,29,False
2018-05-13,27,False
2018-05-20,56,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,26,False
2018-06-17,56,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,28,False
2018-07-22,43,False
2018-07-29,57,False
2018-08-05,41,False
2018-08-12,28,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,27,False
2018-09-09,28,False
2018-09-16,27,False
2018-09-23,42,False
2018-09-30,60,False
2018-10-07,0,False
2018-10-14,34,False
2018-10-21,100,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,51,False
2018-11-18,34,False
2018-11-25,33,False
2018-12-02,63,False
2018-12-09,65,False
2018-12-16,36,False
2018-12-23,37,False
2018-12-30,41,False
2019-01-06,50,False
2019-01-13,25,False
2019-01-20,0,False
2019-01-27,25,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,66,False
2019-02-24,0,False
2019-03-03,80,False
2019-03-10,0,False
2019-03-17,52,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,0,False
2019-04-28,52,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,38,False
2019-06-02,0,False
2019-06-09,27,False
2019-06-16,26,False
2019-06-23,0,False
2019-06-30,51,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,27,False
2019-08-18,26,False
2019-08-25,26,False
2019-09-01,0,False
2019-09-08,39,False
2019-09-15,0,False
2019-09-22,27,False
2019-09-29,25,False
2019-10-06,68,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,40,False
2019-11-10,0,False
2019-11-17,55,False
2019-11-24,55,False
2019-12-01,28,False
2019-12-08,57,False
2019-12-15,0,False
2019-12-22,63,False
2019-12-29,73,False
2020-01-05,21,False
2020-01-12,23,False
2020-01-19,38,False
2020-01-26,0,False
2020-02-02,23,False
2020-02-09,69,False
2020-02-16,26,False
2020-02-23,38,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,39,False
2020-03-29,40,False
2020-04-05,45,False
2020-04-12,63,False
2020-04-19,31,False
2020-04-26,21,False
2020-05-03,22,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,22,False
2020-05-31,43,False
2020-06-07,59,False
2020-06-14,65,False
2020-06-21,24,False
2020-06-28,24,False
2020-07-05,25,False
