date,Container Sperrmüll,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,35,False
2018-01-28,34,False
2018-02-04,36,False
2018-02-11,0,False
2018-02-18,35,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,34,False
2018-03-18,0,False
2018-03-25,56,False
2018-04-01,37,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,68,False
2018-04-29,36,False
2018-05-06,36,False
2018-05-13,34,False
2018-05-20,36,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,35,False
2018-07-01,34,False
2018-07-08,33,False
2018-07-15,53,False
2018-07-22,54,False
2018-07-29,0,False
2018-08-05,37,False
2018-08-12,36,False
2018-08-19,36,False
2018-08-26,0,False
2018-09-02,35,False
2018-09-09,0,False
2018-09-16,35,False
2018-09-23,35,False
2018-09-30,36,False
2018-10-07,53,False
2018-10-14,0,False
2018-10-21,35,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,33,False
2018-11-25,0,False
2018-12-02,33,False
2018-12-09,50,False
2018-12-16,34,False
2018-12-23,39,False
2018-12-30,72,False
2019-01-06,48,False
2019-01-13,31,False
2019-01-20,32,False
2019-01-27,0,False
2019-02-03,64,False
2019-02-10,65,False
2019-02-17,33,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,67,False
2019-03-24,33,False
2019-03-31,32,False
2019-04-07,66,False
2019-04-14,54,False
2019-04-21,70,False
2019-04-28,67,False
2019-05-05,64,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,34,False
2019-06-02,33,False
2019-06-09,50,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,33,False
2019-07-07,32,False
2019-07-14,52,False
2019-07-21,50,False
2019-07-28,36,False
2019-08-04,72,False
2019-08-11,35,False
2019-08-18,34,False
2019-08-25,33,False
2019-09-01,32,False
2019-09-08,100,False
2019-09-15,33,False
2019-09-22,54,False
2019-09-29,33,False
2019-10-06,32,False
2019-10-13,32,False
2019-10-20,65,False
2019-10-27,31,False
2019-11-03,45,False
2019-11-10,0,False
2019-11-17,30,False
2019-11-24,30,False
2019-12-01,30,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,35,False
2019-12-29,33,False
2020-01-05,74,False
2020-01-12,28,False
2020-01-19,59,False
2020-01-26,43,False
2020-02-02,29,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,0,False
2020-03-15,27,False
2020-03-22,53,False
2020-03-29,39,False
2020-04-05,29,False
2020-04-12,36,False
2020-04-19,53,False
2020-04-26,26,False
2020-05-03,79,False
2020-05-10,66,False
