date,Maurermeister,isPartial
2018-01-07,35,False
2018-01-14,0,False
2018-01-21,68,False
2018-01-28,69,False
2018-02-04,0,False
2018-02-11,35,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,35,False
2018-03-25,36,False
2018-04-01,36,False
2018-04-08,36,False
2018-04-15,36,False
2018-04-22,34,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,35,False
2018-05-20,36,False
2018-05-27,68,False
2018-06-03,34,False
2018-06-10,34,False
2018-06-17,34,False
2018-06-24,35,False
2018-07-01,54,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,55,False
2018-07-29,35,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,49,False
2018-08-26,51,False
2018-09-02,34,False
2018-09-09,51,False
2018-09-16,46,False
2018-09-23,52,False
2018-09-30,72,False
2018-10-07,36,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,34,False
2018-11-18,33,False
2018-11-25,0,False
2018-12-02,33,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,70,False
2019-01-06,0,False
2019-01-13,31,False
2019-01-20,0,False
2019-01-27,43,False
2019-02-03,65,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,34,False
2019-03-03,33,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,100,False
2019-03-31,50,False
2019-04-07,35,False
2019-04-14,37,False
2019-04-21,34,False
2019-04-28,0,False
2019-05-05,33,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,33,False
2019-06-02,32,False
2019-06-09,33,False
2019-06-16,32,False
2019-06-23,33,False
2019-06-30,33,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,36,False
2019-07-28,0,False
2019-08-04,67,False
2019-08-11,0,False
2019-08-18,32,False
2019-08-25,47,False
2019-09-01,31,False
2019-09-08,0,False
2019-09-15,32,False
2019-09-22,63,False
2019-09-29,32,False
2019-10-06,53,False
2019-10-13,31,False
2019-10-20,0,False
2019-10-27,61,False
2019-11-03,30,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,61,False
2019-12-22,33,False
2019-12-29,31,False
2020-01-05,0,False
2020-01-12,55,False
2020-01-19,43,False
2020-01-26,29,False
2020-02-02,85,False
2020-02-09,28,False
2020-02-16,38,False
2020-02-23,58,False
2020-03-01,38,False
2020-03-08,26,False
2020-03-15,35,False
2020-03-22,53,False
2020-03-29,52,False
2020-04-05,29,False
2020-04-12,28,False
2020-04-19,27,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,26,False
