date,Glaserei,isPartial
2018-01-07,20,False
2018-01-14,42,False
2018-01-21,26,False
2018-01-28,36,False
2018-02-04,33,False
2018-02-11,41,False
2018-02-18,100,False
2018-02-25,45,False
2018-03-04,57,False
2018-03-11,32,False
2018-03-18,33,False
2018-03-25,22,False
2018-04-01,54,False
2018-04-08,33,False
2018-04-15,36,False
2018-04-22,34,False
2018-04-29,34,False
2018-05-06,51,False
2018-05-13,32,False
2018-05-20,38,False
2018-05-27,28,False
2018-06-03,33,False
2018-06-10,26,False
2018-06-17,34,False
2018-06-24,29,False
2018-07-01,25,False
2018-07-08,45,False
2018-07-15,43,False
2018-07-22,39,False
2018-07-29,33,False
2018-08-05,40,False
2018-08-12,27,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,26,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,24,False
2018-09-30,21,False
2018-10-07,30,False
2018-10-14,24,False
2018-10-21,51,False
2018-10-28,28,False
2018-11-04,23,False
2018-11-11,30,False
2018-11-18,25,False
2018-11-25,30,False
2018-12-02,29,False
2018-12-09,26,False
2018-12-16,18,False
2018-12-23,18,False
2018-12-30,29,False
2019-01-06,19,False
2019-01-13,39,False
2019-01-20,22,False
2019-01-27,34,False
2019-02-03,23,False
2019-02-10,33,False
2019-02-17,33,False
2019-02-24,22,False
2019-03-03,32,False
2019-03-10,41,False
2019-03-17,31,False
2019-03-24,20,False
2019-03-31,22,False
2019-04-07,27,False
2019-04-14,17,False
2019-04-21,22,False
2019-04-28,29,False
2019-05-05,25,False
2019-05-12,43,False
2019-05-19,34,False
2019-05-26,19,False
2019-06-02,41,False
2019-06-09,25,False
2019-06-16,15,False
2019-06-23,37,False
2019-06-30,35,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,23,False
2019-07-28,36,False
2019-08-04,39,False
2019-08-11,29,False
2019-08-18,38,False
2019-08-25,41,False
2019-09-01,18,False
2019-09-08,28,False
2019-09-15,37,False
2019-09-22,28,False
2019-09-29,19,False
2019-10-06,28,False
2019-10-13,40,False
2019-10-20,35,False
2019-10-27,39,False
2019-11-03,19,False
2019-11-10,33,False
2019-11-17,54,False
2019-11-24,31,False
2019-12-01,23,False
2019-12-08,29,False
2019-12-15,20,False
2019-12-22,16,False
2019-12-29,18,False
2020-01-05,27,False
2020-01-12,21,False
2020-01-19,36,False
2020-01-26,25,False
2020-02-02,22,False
2020-02-09,31,False
2020-02-16,22,False
2020-02-23,37,False
2020-03-01,37,False
2020-03-08,28,False
2020-03-15,17,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,20,False
2020-04-12,26,False
2020-04-19,30,False
2020-04-26,27,False
2020-05-03,42,False
2020-05-10,41,False
