date,Glaserei,isPartial
2018-01-07,45,False
2018-01-14,48,False
2018-01-21,24,False
2018-01-28,48,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,41,False
2018-02-25,57,False
2018-03-04,48,False
2018-03-11,0,False
2018-03-18,25,False
2018-03-25,37,False
2018-04-01,24,False
2018-04-08,37,False
2018-04-15,44,False
2018-04-22,25,False
2018-04-29,52,False
2018-05-06,26,False
2018-05-13,25,False
2018-05-20,51,False
2018-05-27,48,False
2018-06-03,100,False
2018-06-10,46,False
2018-06-17,38,False
2018-06-24,0,False
2018-07-01,45,False
2018-07-08,20,False
2018-07-15,31,False
2018-07-22,19,False
2018-07-29,43,False
2018-08-05,54,False
2018-08-12,36,False
2018-08-19,31,False
2018-08-26,39,False
2018-09-02,24,False
2018-09-09,23,False
2018-09-16,24,False
2018-09-23,36,False
2018-09-30,24,False
2018-10-07,25,False
2018-10-14,32,False
2018-10-21,39,False
2018-10-28,24,False
2018-11-04,47,False
2018-11-11,24,False
2018-11-18,23,False
2018-11-25,48,False
2018-12-02,24,False
2018-12-09,48,False
2018-12-16,24,False
2018-12-23,24,False
2018-12-30,22,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,44,False
2019-01-27,0,False
2019-02-03,47,False
2019-02-10,24,False
2019-02-17,23,False
2019-02-24,35,False
2019-03-03,33,False
2019-03-10,37,False
2019-03-17,31,False
2019-03-24,70,False
2019-03-31,36,False
2019-04-07,23,False
2019-04-14,40,False
2019-04-21,34,False
2019-04-28,44,False
2019-05-05,22,False
2019-05-12,53,False
2019-05-19,22,False
2019-05-26,32,False
2019-06-02,44,False
2019-06-09,43,False
2019-06-16,22,False
2019-06-23,44,False
2019-06-30,42,False
2019-07-07,53,False
2019-07-14,63,False
2019-07-21,21,False
2019-07-28,27,False
2019-08-04,21,False
2019-08-11,20,False
2019-08-18,21,False
2019-08-25,32,False
2019-09-01,31,False
2019-09-08,55,False
2019-09-15,35,False
2019-09-22,32,False
2019-09-29,31,False
2019-10-06,32,False
2019-10-13,39,False
2019-10-20,33,False
2019-10-27,27,False
2019-11-03,26,False
2019-11-10,33,False
2019-11-17,30,False
2019-11-24,20,False
2019-12-01,28,False
2019-12-08,28,False
2019-12-15,75,False
2019-12-22,22,False
2019-12-29,19,False
2020-01-05,19,False
2020-01-12,37,False
2020-01-19,19,False
2020-01-26,18,False
2020-02-02,37,False
2020-02-09,40,False
2020-02-16,30,False
2020-02-23,47,False
2020-03-01,32,False
2020-03-08,18,False
2020-03-15,70,False
2020-03-22,23,False
2020-03-29,25,False
2020-04-05,76,False
2020-04-12,45,False
2020-04-19,30,False
2020-04-26,47,False
2020-05-03,53,False
2020-05-10,35,False
