date,Folienbeklebung,isPartial
2018-01-07,93,False
2018-01-14,31,False
2018-01-21,0,False
2018-01-28,62,False
2018-02-04,63,False
2018-02-11,47,False
2018-02-18,63,False
2018-02-25,0,False
2018-03-04,41,False
2018-03-11,93,False
2018-03-18,42,False
2018-03-25,0,False
2018-04-01,100,False
2018-04-08,96,False
2018-04-15,55,False
2018-04-22,0,False
2018-04-29,33,False
2018-05-06,50,False
2018-05-13,0,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,51,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,63,False
2018-07-15,65,False
2018-07-22,49,False
2018-07-29,33,False
2018-08-05,64,False
2018-08-12,33,False
2018-08-19,49,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,63,False
2018-09-16,79,False
2018-09-23,0,False
2018-09-30,32,False
2018-10-07,31,False
2018-10-14,32,False
2018-10-21,62,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,62,False
2018-11-18,59,False
2018-11-25,0,False
2018-12-02,60,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,44,False
2019-01-13,86,False
2019-01-20,28,False
2019-01-27,29,False
2019-02-03,58,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,60,False
2019-03-03,29,False
2019-03-10,29,False
2019-03-17,46,False
2019-03-24,45,False
2019-03-31,30,False
2019-04-07,59,False
2019-04-14,65,False
2019-04-21,48,False
2019-04-28,0,False
2019-05-05,29,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,30,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,30,False
2019-06-23,30,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,31,False
2019-07-21,49,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,45,False
2019-08-18,31,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,59,False
2019-09-22,58,False
2019-09-29,29,False
2019-10-06,39,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,28,False
2019-12-22,32,False
2019-12-29,30,False
2020-01-05,40,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,39,False
2020-02-02,52,False
2020-02-09,26,False
2020-02-16,27,False
2020-02-23,26,False
2020-03-01,26,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,0,False
2020-03-29,24,False
2020-04-05,26,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,24,False
