date,Acustica,isPartial
2018-01-07,36,False
2018-01-14,18,False
2018-01-21,36,False
2018-01-28,18,False
2018-02-04,52,False
2018-02-11,51,False
2018-02-18,68,False
2018-02-25,17,False
2018-03-04,17,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,19,False
2018-04-01,20,False
2018-04-08,37,False
2018-04-15,18,False
2018-04-22,19,False
2018-04-29,0,False
2018-05-06,27,False
2018-05-13,18,False
2018-05-20,28,False
2018-05-27,29,False
2018-06-03,28,False
2018-06-10,0,False
2018-06-17,17,False
2018-06-24,0,False
2018-07-01,92,False
2018-07-08,35,False
2018-07-15,27,False
2018-07-22,41,False
2018-07-29,16,False
2018-08-05,15,False
2018-08-12,26,False
2018-08-19,13,False
2018-08-26,0,False
2018-09-02,18,False
2018-09-09,19,False
2018-09-16,39,False
2018-09-23,56,False
2018-09-30,36,False
2018-10-07,19,False
2018-10-14,56,False
2018-10-21,37,False
2018-10-28,18,False
2018-11-04,18,False
2018-11-11,19,False
2018-11-18,19,False
2018-11-25,0,False
2018-12-02,100,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,21,False
2018-12-30,38,False
2019-01-06,37,False
2019-01-13,19,False
2019-01-20,35,False
2019-01-27,18,False
2019-02-03,36,False
2019-02-10,36,False
2019-02-17,0,False
2019-02-24,18,False
2019-03-03,38,False
2019-03-10,0,False
2019-03-17,57,False
2019-03-24,28,False
2019-03-31,19,False
2019-04-07,37,False
2019-04-14,40,False
2019-04-21,39,False
2019-04-28,0,False
2019-05-05,18,False
2019-05-12,18,False
2019-05-19,28,False
2019-05-26,26,False
2019-06-02,29,False
2019-06-09,40,False
2019-06-16,19,False
2019-06-23,28,False
2019-06-30,19,False
2019-07-07,0,False
2019-07-14,44,False
2019-07-21,27,False
2019-07-28,34,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,22,False
2019-09-01,17,False
2019-09-08,19,False
2019-09-15,57,False
2019-09-22,37,False
2019-09-29,19,False
2019-10-06,38,False
2019-10-13,39,False
2019-10-20,19,False
2019-10-27,38,False
2019-11-03,37,False
2019-11-10,37,False
2019-11-17,19,False
2019-11-24,36,False
2019-12-01,19,False
2019-12-08,19,False
2019-12-15,29,False
2019-12-22,48,False
2019-12-29,19,False
2020-01-05,27,False
2020-01-12,34,False
2020-01-19,35,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,18,False
2020-02-16,26,False
2020-02-23,24,False
2020-03-01,32,False
2020-03-08,15,False
2020-03-15,42,False
2020-03-22,25,False
2020-03-29,27,False
2020-04-05,21,False
2020-04-12,59,False
2020-04-19,54,False
2020-04-26,73,True
