date,cdj,isPartial
2018-01-07,44,False
2018-01-14,29,False
2018-01-21,29,False
2018-01-28,86,False
2018-02-04,43,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,29,False
2018-03-04,0,False
2018-03-11,60,False
2018-03-18,0,False
2018-03-25,32,False
2018-04-01,49,False
2018-04-08,47,False
2018-04-15,100,False
2018-04-22,0,False
2018-04-29,64,False
2018-05-06,62,False
2018-05-13,0,False
2018-05-20,31,False
2018-05-27,47,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,46,False
2018-07-08,31,False
2018-07-15,47,False
2018-07-22,31,False
2018-07-29,47,False
2018-08-05,64,False
2018-08-12,35,False
2018-08-19,32,False
2018-08-26,30,False
2018-09-02,60,False
2018-09-09,31,False
2018-09-16,30,False
2018-09-23,0,False
2018-09-30,31,False
2018-10-07,64,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,45,False
2018-11-04,30,False
2018-11-11,32,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,66,False
2018-12-16,34,False
2018-12-23,38,False
2018-12-30,50,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,29,False
2019-02-10,58,False
2019-02-17,0,False
2019-02-24,29,False
2019-03-03,30,False
2019-03-10,30,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,0,False
2019-04-21,31,False
2019-04-28,29,False
2019-05-05,56,False
2019-05-12,0,False
2019-05-19,42,False
2019-05-26,27,False
2019-06-02,0,False
2019-06-09,60,False
2019-06-16,59,False
2019-06-23,0,False
2019-06-30,30,False
2019-07-07,30,False
2019-07-14,32,False
2019-07-21,93,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,35,False
2019-08-18,31,False
2019-08-25,57,False
2019-09-01,28,False
2019-09-08,89,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,29,False
2019-10-06,28,False
2019-10-13,28,False
2019-10-20,28,False
2019-10-27,28,False
2019-11-03,27,False
2019-11-10,54,False
2019-11-17,54,False
2019-11-24,27,False
2019-12-01,43,False
2019-12-08,28,False
2019-12-15,28,False
2019-12-22,0,False
2019-12-29,46,False
2020-01-05,41,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,26,False
2020-02-16,52,False
2020-02-23,0,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,22,False
2020-03-29,23,False
2020-04-05,24,False
2020-04-12,48,False
2020-04-19,35,False
2020-04-26,40,True
