date,Tapezierer,isPartial
2018-01-07,25,False
2018-01-14,0,False
2018-01-21,25,False
2018-01-28,24,False
2018-02-04,38,False
2018-02-11,25,False
2018-02-18,100,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,25,False
2018-03-25,26,False
2018-04-01,26,False
2018-04-08,37,False
2018-04-15,51,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,0,False
2018-05-13,37,False
2018-05-20,26,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,24,False
2018-06-24,76,False
2018-07-01,73,False
2018-07-08,24,False
2018-07-15,25,False
2018-07-22,0,False
2018-07-29,40,False
2018-08-05,0,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,25,False
2018-09-02,0,False
2018-09-09,38,False
2018-09-16,25,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,25,False
2018-10-14,26,False
2018-10-21,25,False
2018-10-28,50,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,0,False
2018-12-09,37,False
2018-12-16,0,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,46,False
2019-01-13,91,False
2019-01-20,45,False
2019-01-27,23,False
2019-02-03,46,False
2019-02-10,71,False
2019-02-17,47,False
2019-02-24,24,False
2019-03-03,70,False
2019-03-10,67,False
2019-03-17,36,False
2019-03-24,48,False
2019-03-31,46,False
2019-04-07,36,False
2019-04-14,26,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,35,False
2019-05-19,47,False
2019-05-26,24,False
2019-06-02,47,False
2019-06-09,48,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,24,False
2019-07-07,23,False
2019-07-14,37,False
2019-07-21,54,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,47,False
2019-09-01,23,False
2019-09-08,47,False
2019-09-15,24,False
2019-09-22,47,False
2019-09-29,24,False
2019-10-06,46,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,22,False
2019-11-17,22,False
2019-11-24,21,False
2019-12-01,44,False
2019-12-08,22,False
2019-12-15,44,False
2019-12-22,51,False
2019-12-29,48,False
2020-01-05,43,False
2020-01-12,20,False
2020-01-19,0,False
2020-01-26,42,False
2020-02-02,31,False
2020-02-09,0,False
2020-02-16,21,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,57,False
2020-03-15,19,False
2020-03-22,28,False
2020-03-29,19,False
2020-04-05,21,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,37,False
2020-05-03,0,False
2020-05-10,38,False
2020-05-17,0,True
