date,Granit Küchenarbeitsplatte,isPartial
2018-01-07,55,False
2018-01-14,27,False
2018-01-21,100,False
2018-01-28,54,False
2018-02-04,28,False
2018-02-11,47,False
2018-02-18,85,False
2018-02-25,55,False
2018-03-04,28,False
2018-03-11,69,False
2018-03-18,46,False
2018-03-25,30,False
2018-04-01,59,False
2018-04-08,29,False
2018-04-15,58,False
2018-04-22,28,False
2018-04-29,44,False
2018-05-06,44,False
2018-05-13,28,False
2018-05-20,59,False
2018-05-27,29,False
2018-06-03,28,False
2018-06-10,40,False
2018-06-17,27,False
2018-06-24,28,False
2018-07-01,0,False
2018-07-08,55,False
2018-07-15,58,False
2018-07-22,58,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,44,False
2018-08-19,29,False
2018-08-26,72,False
2018-09-02,28,False
2018-09-09,28,False
2018-09-16,56,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,42,False
2018-10-14,70,False
2018-10-21,27,False
2018-10-28,27,False
2018-11-04,67,False
2018-11-11,55,False
2018-11-18,78,False
2018-11-25,54,False
2018-12-02,80,False
2018-12-09,27,False
2018-12-16,0,False
2018-12-23,64,False
2018-12-30,58,False
2019-01-06,52,False
2019-01-13,38,False
2019-01-20,51,False
2019-01-27,25,False
2019-02-03,26,False
2019-02-10,26,False
2019-02-17,26,False
2019-02-24,27,False
2019-03-03,60,False
2019-03-10,64,False
2019-03-17,40,False
2019-03-24,0,False
2019-03-31,80,False
2019-04-07,53,False
2019-04-14,48,False
2019-04-21,42,False
2019-04-28,26,False
2019-05-05,52,False
2019-05-12,0,False
2019-05-19,52,False
2019-05-26,54,False
2019-06-02,26,False
2019-06-09,40,False
2019-06-16,27,False
2019-06-23,27,False
2019-06-30,40,False
2019-07-07,66,False
2019-07-14,36,False
2019-07-21,58,False
2019-07-28,0,False
2019-08-04,38,False
2019-08-11,36,False
2019-08-18,0,False
2019-08-25,40,False
2019-09-01,52,False
2019-09-08,26,False
2019-09-15,27,False
2019-09-22,51,False
2019-09-29,52,False
2019-10-06,25,False
2019-10-13,38,False
2019-10-20,63,False
2019-10-27,50,False
2019-11-03,48,False
2019-11-10,33,False
2019-11-17,65,False
2019-11-24,48,False
2019-12-01,49,False
2019-12-08,49,False
2019-12-15,50,False
2019-12-22,29,False
2019-12-29,35,False
2020-01-05,59,False
2020-01-12,68,False
2020-01-19,35,False
2020-01-26,31,False
2020-02-02,35,False
2020-02-09,46,False
2020-02-16,71,False
2020-02-23,70,False
2020-03-01,46,False
2020-03-08,29,False
2020-03-15,42,False
2020-03-22,21,False
2020-03-29,42,False
2020-04-05,23,False
2020-04-12,33,False
2020-04-19,53,False
2020-04-26,42,False
2020-05-03,49,False
2020-05-10,43,False
