date,feste a tema,isPartial
2018-01-07,53,False
2018-01-14,65,False
2018-01-21,71,False
2018-01-28,58,False
2018-02-04,77,False
2018-02-11,39,False
2018-02-18,50,False
2018-02-25,25,False
2018-03-04,19,False
2018-03-11,70,False
2018-03-18,58,False
2018-03-25,54,False
2018-04-01,63,False
2018-04-08,52,False
2018-04-15,33,False
2018-04-22,14,False
2018-04-29,39,False
2018-05-06,52,False
2018-05-13,26,False
2018-05-20,46,False
2018-05-27,33,False
2018-06-03,59,False
2018-06-10,56,False
2018-06-17,52,False
2018-06-24,33,False
2018-07-01,39,False
2018-07-08,90,False
2018-07-15,99,False
2018-07-22,26,False
2018-07-29,74,False
2018-08-05,56,False
2018-08-12,15,False
2018-08-19,86,False
2018-08-26,47,False
2018-09-02,38,False
2018-09-09,57,False
2018-09-16,100,False
2018-09-23,51,False
2018-09-30,64,False
2018-10-07,85,False
2018-10-14,60,False
2018-10-21,19,False
2018-10-28,25,False
2018-11-04,81,False
2018-11-11,45,False
2018-11-18,38,False
2018-11-25,19,False
2018-12-02,26,False
2018-12-09,26,False
2018-12-16,34,False
2018-12-23,77,False
2018-12-30,28,False
2019-01-06,59,False
2019-01-13,76,False
2019-01-20,61,False
2019-01-27,36,False
2019-02-03,49,False
2019-02-10,43,False
2019-02-17,57,False
2019-02-24,50,False
2019-03-03,46,False
2019-03-10,13,False
2019-03-17,46,False
2019-03-24,46,False
2019-03-31,52,False
2019-04-07,19,False
2019-04-14,39,False
2019-04-21,41,False
2019-04-28,45,False
2019-05-05,19,False
2019-05-12,37,False
2019-05-19,61,False
2019-05-26,36,False
2019-06-02,38,False
2019-06-09,45,False
2019-06-16,58,False
2019-06-23,40,False
2019-06-30,53,False
2019-07-07,38,False
2019-07-14,52,False
2019-07-21,79,False
2019-07-28,60,False
2019-08-04,28,False
2019-08-11,29,False
2019-08-18,55,False
2019-08-25,44,False
2019-09-01,53,False
2019-09-08,49,False
2019-09-15,78,False
2019-09-22,53,False
2019-09-29,48,False
2019-10-06,67,False
2019-10-13,48,False
2019-10-20,59,False
2019-10-27,47,False
2019-11-03,57,False
2019-11-10,23,False
2019-11-17,64,False
2019-11-24,46,False
2019-12-01,18,False
2019-12-08,42,False
2019-12-15,36,False
2019-12-22,28,False
2019-12-29,47,False
2020-01-05,35,False
2020-01-12,44,False
2020-01-19,51,False
2020-01-26,39,False
2020-02-02,39,False
2020-02-09,34,False
2020-02-16,34,False
2020-02-23,21,False
2020-03-01,10,False
2020-03-08,0,False
2020-03-15,10,False
2020-03-22,14,False
2020-03-29,10,False
2020-04-05,10,False
2020-04-12,31,False
2020-04-19,20,False
2020-04-26,0,True
