date,Insektenschutzrollo,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,23,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,44,False
2018-03-18,0,False
2018-03-25,24,False
2018-04-01,25,False
2018-04-08,24,False
2018-04-15,49,False
2018-04-22,72,False
2018-04-29,100,False
2018-05-06,62,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,25,False
2018-06-03,47,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,0,False
2018-07-01,47,False
2018-07-08,23,False
2018-07-15,0,False
2018-07-22,24,False
2018-07-29,50,False
2018-08-05,0,False
2018-08-12,25,False
2018-08-19,0,False
2018-08-26,23,False
2018-09-02,47,False
2018-09-09,36,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,23,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,21,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,21,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,22,False
2019-03-24,22,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,47,False
2019-04-28,22,False
2019-05-05,22,False
2019-05-12,22,False
2019-05-19,43,False
2019-05-26,33,False
2019-06-02,45,False
2019-06-09,69,False
2019-06-16,67,False
2019-06-23,35,False
2019-06-30,68,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,24,False
2019-07-28,23,False
2019-08-04,48,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,45,False
2019-09-01,22,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,21,False
2019-10-27,0,False
2019-11-03,20,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,21,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,19,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,19,False
2020-02-23,18,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,36,False
2020-03-22,18,False
2020-03-29,18,False
2020-04-05,20,False
2020-04-12,94,False
2020-04-19,64,False
2020-04-26,28,False
2020-05-03,74,False
2020-05-10,65,False
2020-05-17,30,False
2020-05-24,56,False
2020-05-31,28,False
2020-06-07,47,False
2020-06-14,18,False
2020-06-21,19,False
2020-06-28,38,False
2020-07-05,60,False
