date,atelier dessin,isPartial
2018-01-07,22,False
2018-01-14,52,False
2018-01-21,51,False
2018-01-28,37,False
2018-02-04,22,False
2018-02-11,60,False
2018-02-18,24,False
2018-02-25,36,False
2018-03-04,68,False
2018-03-11,84,False
2018-03-18,23,False
2018-03-25,23,False
2018-04-01,47,False
2018-04-08,57,False
2018-04-15,41,False
2018-04-22,24,False
2018-04-29,35,False
2018-05-06,50,False
2018-05-13,23,False
2018-05-20,58,False
2018-05-27,44,False
2018-06-03,22,False
2018-06-10,29,False
2018-06-17,22,False
2018-06-24,37,False
2018-07-01,33,False
2018-07-08,35,False
2018-07-15,51,False
2018-07-22,51,False
2018-07-29,45,False
2018-08-05,56,False
2018-08-12,29,False
2018-08-19,27,False
2018-08-26,41,False
2018-09-02,69,False
2018-09-09,45,False
2018-09-16,67,False
2018-09-23,45,False
2018-09-30,60,False
2018-10-07,44,False
2018-10-14,43,False
2018-10-21,44,False
2018-10-28,0,False
2018-11-04,37,False
2018-11-11,21,False
2018-11-18,36,False
2018-11-25,22,False
2018-12-02,45,False
2018-12-09,53,False
2018-12-16,23,False
2018-12-23,28,False
2018-12-30,39,False
2019-01-06,45,False
2019-01-13,56,False
2019-01-20,36,False
2019-01-27,33,False
2019-02-03,42,False
2019-02-10,33,False
2019-02-17,45,False
2019-02-24,69,False
2019-03-03,45,False
2019-03-10,30,False
2019-03-17,47,False
2019-03-24,40,False
2019-03-31,35,False
2019-04-07,87,False
2019-04-14,32,False
2019-04-21,34,False
2019-04-28,42,False
2019-05-05,41,False
2019-05-12,72,False
2019-05-19,47,False
2019-05-26,24,False
2019-06-02,29,False
2019-06-09,63,False
2019-06-16,47,False
2019-06-23,24,False
2019-06-30,48,False
2019-07-07,40,False
2019-07-14,52,False
2019-07-21,27,False
2019-07-28,29,False
2019-08-04,45,False
2019-08-11,47,False
2019-08-18,45,False
2019-08-25,44,False
2019-09-01,78,False
2019-09-08,31,False
2019-09-15,61,False
2019-09-22,44,False
2019-09-29,44,False
2019-10-06,22,False
2019-10-13,30,False
2019-10-20,47,False
2019-10-27,47,False
2019-11-03,51,False
2019-11-10,34,False
2019-11-17,67,False
2019-11-24,22,False
2019-12-01,43,False
2019-12-08,43,False
2019-12-15,30,False
2019-12-22,27,False
2019-12-29,38,False
2020-01-05,43,False
2020-01-12,21,False
2020-01-19,100,False
2020-01-26,29,False
2020-02-02,44,False
2020-02-09,44,False
2020-02-16,45,False
2020-02-23,28,False
2020-03-01,21,False
2020-03-08,52,False
2020-03-15,0,False
2020-03-22,45,False
2020-03-29,33,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,22,False
2020-04-26,21,False
2020-05-03,62,False
2020-05-10,43,False
2020-05-17,0,True
